stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,18,0,0,0,0,0,1,6,0,2,9,0,0,0,0,0
 24-34,0,0,2.46,0,0,7.39,0,0,0,0.82,0,1.64,0,0,0,0,0,3.28,0,0,1.64,97.68,0.82,0.82,0,0,0,0,3.28,0,0,119.84,0,0,0,0,0
 36-46,0,0,2.42,0,0,28.2,0,0,0,4.83,0,1.61,0,0,0,0,0,7.25,0.81,0,3.22,435.87,0,0,1.61,0,0.81,0,3.22,0,0,360.94,0,0,0.81,0,0
 48-58,0,0,6.89,0.57,0,68.28,0.57,0,0.57,13.2,0,0.57,0,0,0.57,0,0,16.07,0,0.57,2.87,868.17,1.72,0,2.3,0,0.57,0,0,0,0,418.3,0,0,0,0,2.3
 60-70,0,0,1.96,0,0,104.04,1.96,1.96,0.98,10.8,0,0,0,0,0,0,0,30.43,0.98,0,2.94,1127.77,0,0,3.93,0,0,0,2.94,0.98,0,443.65,0,0,0.98,0,0.98
 72-82,0,1.96,2.94,0,0,224.8,0,0,0.98,33.38,0.98,0,0,0,0.98,0,0,41.23,0.98,0,7.85,1124,0,0.98,0.98,0,1.96,0,0.98,0,0,323.95,0.98,2.94,5.89,0.98,0
 84-94,0,0,10.62,0,0,146.56,0,2.12,1.06,31.86,3.19,0,1.06,2.12,1.06,0,0,28.68,0,1.06,6.37,562.88,1.06,1.06,4.25,0,3.19,0,1.06,0,0,160.37,0,1.06,2.12,1.06,0
 96-106,0,2.19,12.02,1.09,1.09,139.88,0,0,1.09,38.25,2.19,1.09,0,1.09,1.09,2.19,0,33.88,0,3.28,1.09,468.83,1.09,1.09,8.74,1.09,2.19,0,1.09,0,0,71.04,1.09,2.19,0,3.28,1.09
108-118,0,0,9.96,0.77,0,131.75,0,0.77,0,28.34,0.77,0.77,0.77,0.77,0,0,0.77,28.34,0,1.53,3.83,521.62,0,0.77,10.72,0,3.06,0,0,0,0,50.55,0.77,0,3.83,3.83,0
120,0,0,11.76,1.96,0,113.67,0,0,1.96,37.24,1.96,3.92,0,1.96,1.96,0,0,33.32,0,1.96,9.8,568.34,1.96,0,0,0,0,0,1.96,0,0,76.43,1.96,1.96,0,1.96,0
