stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,glial,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,xanthophores
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,12,1,0,0
 24-34,0,0,4.93,0,0,0,0.82,0,0.82,0,3.28,5.75,18.88,0,0.82,0,0.82,0,4.1,4.1,0,0
 36-46,0,0,1.61,0.81,0,0.81,0,0.81,0,0,4.03,4.83,36.26,0,0.81,0,0,0,0,8.06,0,0
 48-58,0,0,0.57,2.87,1.72,0.57,0,0,0,0.57,4.02,1.72,52.22,0,0,0,0,0,0,6.89,0,1.15
 60-70,0,0,0.98,11.78,0,2.94,0,0,0,0,4.91,0,70.67,0,0,0,0,0,0,12.76,0,0
 72-82,0,0,0.98,12.76,0.98,0,0,0,0,0,7.85,0,70.68,0,0,0,0,0,0,5.89,0.98,0
 84-94,0,0,2.12,5.31,0,2.12,0,0,0,0,1.06,2.12,30.8,0,1.06,0,1.06,0,0,5.31,2.12,1.06
 96-106,0,0,1.09,4.37,0,0,2.19,0,0,0,3.28,3.28,14.21,2.19,1.09,0,1.09,0,0,2.19,0,0
108-118,0,0,0.77,1.53,1.53,1.53,0,0,0,0,4.6,3.06,17.62,0,0,0,0,0,0,0,0,3.06
120,0,0,7.84,5.88,0,1.96,3.92,0,1.96,0,3.92,5.88,23.52,0,0,0,0,0,0,1.96,1.96,0
