stage,axial,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,9.44,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,1.64,0,0,0,0,1.64,0,13.13,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,92.65,0.81,0,0,0,0,0,0,12.09,0,0
 48-58,0,0.57,0,4.59,0,1.15,0,1.15,0,0,0.57,2.3,0,0,114.19,1.15,0.57,0,0,0,0,0,20.08,0,0.57
 60-70,0,0.98,0,24.54,0,0.98,0,0,0,0,0,2.94,0,0.98,275.81,0,0,0,0,0,0.98,0,15.7,0,0
 72-82,0,2.94,0.98,94.24,0,7.85,0,0,0,0,0,13.74,0,0,417.21,0,0,0,0,0,0,0.98,21.6,0.98,0
 84-94,0,1.06,0,74.34,1.06,6.37,0,0,1.06,0,0,10.62,0,0,230.46,0,2.12,0,0,0,4.25,1.06,16.99,0,0
 96-106,0,5.46,0,90.71,0,10.93,0,0,2.19,1.09,0,10.93,0,0,215.29,0,1.09,1.09,0,0,3.28,0,6.56,1.09,0
108-118,0,3.83,0,80.43,0,8.43,0,1.53,0.77,0,0,7.66,0,1.53,236.68,0,1.53,0.77,0,0.77,2.3,0,7.66,0,0
120,0,3.92,0,92.11,0,5.88,0,0,0,0,0,9.8,1.96,0,305.73,0,0,1.96,0,0,1.96,0,5.88,0,0
