stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,131.78,1844.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,159.37,7447.51,0,0,0,0,0,0,0,0,0,30.65,0,0,12.26,67.43,0,0,0,0,0,0,0,0
  7-9,13.14,176.12,23.66,0,299.67,0,2.63,0,0,0,0,5880.43,15.77,0,715.01,2.63,2.63,0,0,0,0,0,0,0
 10-12,0,66.09,15.73,0,18.88,0,3.15,3.15,0,0,0,3115.5,12.59,0,1063.68,3.15,0,0,12.59,0,0,6.29,0,0
 14-21,0,0,0,12,5,4,1,0,0,2,2,1091,2,0,18,0,0,6,1,1,7,518,1,0
 24-34,0,0,0,1.64,4.1,2.46,0,0,0.82,4.93,1.64,532.74,0,0,0,0.82,0,0.82,0,0.82,0.82,160.07,1.64,0.82
 36-46,0,0,0,0,4.83,6.45,0,0,0,8.86,0,194.97,0,0.81,0,0,0,0,0,0,0,98.29,0,0
 48-58,0,0,0,0.57,4.59,16.07,0,0,0,2.87,0.57,36.72,0,0,0,0,0,0,0,0,0,43.61,0,0
 60-70,0,0,0,0,0,19.63,0,0,0,0,0,5.89,0,0,0,0,0,0,0,0,0,10.8,0,0
 72-82,0,0,0,0,3.93,22.58,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,4.25,13.81,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,0,0,9.84,0,0,0,0,0,5.46,0,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0,9.19,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,3.92,7.84,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0
