stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,0,7,2,2,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,4,35,1,0,0,1,0,3,0,1,0,3,12,0,0,0,0
 24-34,0,0,0.82,3.28,0,7.39,0,0,0.82,0,0,1.64,0.82,1.64,0,0,0,0,7.39,0.82,0,1.64,73.06,0.82,0.82,0.82,0,0,4.1,0,0,0,0.82,17.24,0,1.64,0,0
 36-46,0,0,0,0,0,18.53,0,0.81,3.22,0,0,0,0,0,0,0,0,0,5.64,1.61,0,1.61,73.32,0,0,0,0,0,4.03,0,0,0,0,15.31,0,2.42,0,0
 48-58,0,0,0,0.57,0,22.38,0,0.57,9.18,0.57,0,0,0.57,0,0,0,0,0,9.75,1.15,0,0.57,45.9,0,0.57,0,0,0,2.87,0,0,0,0,9.75,0,1.15,0,0
 60-70,0,0,0,0.98,0,40.24,0.98,0.98,11.78,0,0,0.98,0.98,0,0,0,0,0,9.82,0,1.96,0,51.04,0,0,0,0,0,0.98,0,0,0,0,6.87,0,0.98,0,0
 72-82,0,0.98,0,1.96,1.96,29.45,0,0,11.78,2.94,0,0,0.98,0,1.96,0,0.98,0,16.69,0,1.96,0,44.17,0,0.98,0,0,0,0,0,0,0,0,2.94,0,2.94,0,0
 84-94,0,0,0,1.06,0,16.99,2.12,0,3.19,1.06,1.06,0,2.12,0,1.06,1.06,2.12,0,7.43,2.12,0,1.06,29.74,0,0,0,0,0,8.5,0,0,1.06,0,2.12,0,2.12,0,0
 96-106,0,0,0,0,3.28,16.39,1.09,0,3.28,0,0,0,2.19,0,0,3.28,0,0,8.74,1.09,2.19,1.09,22.95,0,0,1.09,0,0,10.93,0,0,0,0,0,1.09,1.09,1.09,1.09
108-118,0,0,0,3.06,0,9.96,0,0,5.36,0.77,0,0,0.77,0,0,0,0,0.77,6.89,0.77,0.77,0.77,26.81,0.77,0,0,0,0.77,3.06,0,0,0.77,0,0.77,0.77,0.77,0.77,0
120,0,0,0,1.96,1.96,7.84,0,0,3.92,0,0,0,0,0,0,1.96,0,0,3.92,0,0,5.88,19.6,0,1.96,0,0,0,5.88,1.96,0,0,0,0,0,0,0,0
