stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,154.2,0,0,0,22.03,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,61,5,13,0,0,0,2,0,0,0,0,0,0,1,0,1,29,0,0,20,231,0,0,11,2,0,0,0,3,0,13,36,46,0,0,5,0,0
 24-34,0,0,1.64,0,41.86,4.1,59.92,0,2.46,0,1.64,0.82,0,0,0,2.46,0,11.49,0,6.57,59.92,0,0,14.78,464.6,0.82,4.1,13.13,0,0,2.46,0,0,0,4.93,6.57,54.18,0,0,22.98,0,7.39
 36-46,0,0,0,0,13.7,0,62.04,0,2.42,4.83,21.75,0.81,0,0,0,0.81,0,12.89,0,8.06,66.06,0.81,0,17.72,571.22,0,4.03,8.06,0,0,4.03,0,0,0,3.22,0,102.32,0,0,14.5,0,8.06
 48-58,0,0,0,0,10.33,0,123.94,1.15,2.3,13.2,46.48,0,0,0.57,0,0,1.15,13.2,0,6.31,86.64,0.57,1.15,21.23,496.34,0,0.57,5.16,0,1.72,4.02,0,0,0,5.74,0,94.1,0,0,12.62,0.57,7.46
 60-70,0,0,0,0,16.69,0,149.19,0,0.98,19.63,34.35,0,0,1.96,0,0.98,0,16.69,0.98,3.93,101.1,0.98,2.94,6.87,427.94,0,0,1.96,0,0,0.98,0,0,0,1.96,0,62.82,0,1.96,5.89,0,1.96
 72-82,0,0,0,0,24.54,0,107.98,2.94,2.94,29.45,40.25,0,0.98,1.96,0,2.94,0,16.69,0,4.91,87.37,0,4.91,20.61,346.53,0.98,0,5.89,0,0,1.96,0,0,0.98,2.94,0,40.25,0,3.93,34.36,4.91,5.89
 84-94,0,0,3.19,0,36.11,2.12,84.96,8.5,5.31,19.12,31.86,0,0,2.12,0,4.25,1.06,14.87,0,13.81,57.35,0,1.06,7.43,145.5,0,1.06,8.5,0,3.19,3.19,0,0,0,2.12,0,23.36,1.06,1.06,20.18,5.31,7.43
 96-106,0,0,0,0,27.32,1.09,53.55,4.37,1.09,13.11,40.44,2.19,0,1.09,0,7.65,2.19,16.39,0,4.37,71.04,0,1.09,13.11,113.66,0,1.09,7.65,0,0,3.28,1.09,0,0,2.19,0,14.21,1.09,2.19,25.14,5.46,7.65
108-118,0,0,1.53,0.77,22.98,3.06,51.32,4.6,0.77,11.49,18.38,2.3,0,1.53,0,3.83,2.3,9.96,0.77,9.19,46.72,0,0.77,10.72,134.81,0,0.77,3.83,0,0.77,0.77,0,0,0,4.6,0,3.83,0.77,1.53,11.49,1.53,10.72
120,0,0,1.96,0,9.8,0,31.36,7.84,1.96,17.64,17.64,1.96,0,0,1.96,1.96,0,11.76,0,1.96,52.91,1.96,1.96,13.72,127.39,0,0,1.96,0,1.96,1.96,0,0,0,3.92,0,9.8,0,0,19.6,1.96,0
