stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,10.51,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,9.44,0,0,3.15,0,0
 14-21,0,0,3,1,0,0,7,0,0,0,2,0,1,10,0,0,0,6,1,9,0,1
 24-34,0,0,0.82,0,0.82,0,2.46,0,0,0,0.82,0,0,12.31,0.82,0.82,0,1.64,0.82,11.49,0,1.64
 36-46,0,0,0,0,4.83,0,4.03,0,0,0.81,0.81,0,0.81,12.89,4.03,0,0,2.42,0,8.86,0,0
 48-58,0,0,0.57,0,1.15,0.57,6.89,0,0.57,0,0,0,0.57,10.9,1.15,0.57,0,0.57,0,6.89,0,0
 60-70,0,0,0,0,3.93,0,1.96,0.98,0,0.98,2.94,0,0,6.87,0.98,0.98,0,0.98,0,2.94,0,0
 72-82,0,0,0,0,2.94,0,5.89,0,0,0.98,3.93,0.98,0,9.82,3.93,1.96,0,0,0,2.94,0,0
 84-94,0,0,0,0,3.19,0,4.25,0,0,1.06,3.19,0,0,8.5,2.12,1.06,0,0,0,1.06,0,1.06
 96-106,0,0,0,0,2.19,0,3.28,0,0,3.28,1.09,0,0,3.28,5.46,2.19,0,0,0,2.19,0,0
108-118,0,0,0,0,0.77,0,10.72,0.77,0.77,0.77,0,0,0,5.36,3.06,3.83,0,0,0,1.53,0.77,0
120,0,0,1.96,0,0,1.96,3.92,1.96,0,0,1.96,0,0,3.92,3.92,1.96,0,0,0,0,0,0
