stage,blastomeres,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,gut,immune,liver,mesenchyme,neural,notochord,olfactory,pericytes,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,16.42,0,0,0,0,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,24.98,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0.57,0,26.97,0,0,0.57,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0.98,0,0,0,0,0,40.24,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,0,58.9,0,0.98,1.96,0,0.98,0,0,0,0,0,0.98,0,0
 84-94,0,1.06,0,0,0,0,1.06,65.85,0,1.06,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,1.09,1.09,0,0,0,0,86.33,0,0,1.09,0,0,1.09,0,0,0,0,0,1.09,1.09
108-118,0,0,0,0,0,0,1.53,72,0,2.3,0.77,0,0,0,0,0,0,0,0.77,1.53,0
120,0,0,0,0,0,0,0,86.23,0,0,5.88,1.96,0,0,0,0,0,0,0,0,0
