stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,5.26,0,0,5.26,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,105.15,5.26,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,9.44,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,97.56,12.59,0,0,53.5,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,38,3,0,0,1,0,0,7,0,0,14,12,0,0,2,0,0
 24-34,0,0,0,1.64,3.28,0,9.03,0,0,0,4.1,0,0,1.64,0,0,0,0,0,0,14.78,0,2.46,94.4,1.64,1.64,0,0,0,3.28,0,0,0,4.1,24.63,0,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,23.36,0,0,0,2.42,0,0,0,0,0.81,0,0,0,0,8.06,0,2.42,91.04,0.81,1.61,2.42,0,0,0,0,0,0.81,0,24.98,0,0,2.42,0,0
 48-58,0,0,0,0,1.72,0,22.95,0,0,0,5.16,0,0,0,0.57,0,0,0,0,0.57,16.64,0,3.44,75.17,0,0.57,0.57,0,0,1.72,0,0,0,0,18.36,0,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,31.41,0,0,0.98,3.93,0,0,0,0,0,0,0.98,0,0,8.83,0,0,45.15,0,0,0.98,0,0,0.98,0,0,0.98,0,9.82,0,0,0.98,0,0
 72-82,0,0,0.98,0,2.94,1.96,43.19,0,0,0.98,17.67,0,0,0,0.98,0,0,0,0.98,0,32.39,1.96,2.94,108.96,0,1.96,0,0,0,2.94,0,0,0,0,14.72,0,0,2.94,0.98,0
 84-94,0,0,0,0,2.12,2.12,36.11,0,0,0,6.37,3.19,0,0,1.06,1.06,0,0,0,0,20.18,1.06,1.06,58.41,0,0,2.12,0,1.06,9.56,0,0,0,0,4.25,1.06,0,3.19,2.12,1.06
 96-106,0,0,0,0,3.28,0,28.41,0,1.09,1.09,13.11,0,0,0,2.19,2.19,1.09,0,1.09,0,20.76,2.19,3.28,49.18,0,2.19,1.09,0,0,6.56,0,1.09,0,0,3.28,0,2.19,1.09,1.09,1.09
108-118,0,0,0.77,0,4.6,0,16.09,0.77,2.3,0.77,8.43,0.77,0,0.77,1.53,0.77,0.77,1.53,0,0,18.38,0.77,0.77,59.75,0.77,0,0.77,0,0,4.6,0,0,0,0,1.53,0,0.77,1.53,0,0.77
120,0,0,0,0,11.76,1.96,7.84,0,0,1.96,7.84,3.92,0,0,1.96,1.96,0,0,0,0,11.76,1.96,1.96,64.67,3.92,0,0,0,0,11.76,0,0,0,0,1.96,0,0,1.96,0,0
