stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,1,1,0,0,0,2,1,0,0,0,0,0,0,6,0,7,32,0,0,0,0,0,0,1,4,0,3,16,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,7.39,0,0,0.82,0,0.82,0,0,0.82,0,0.82,0,6.57,0,4.93,118.2,0,0.82,0.82,0,0,0,0,12.31,0,0,48.43,0,0,0,0,0
 36-46,0,0,0,0,0,0,17.72,0,0,0,1.61,0,0.81,0,0,0,0,0,4.03,0,0.81,257.01,0,0,1.61,0,0,0.81,0,4.83,0,0,85.4,0,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,43.61,0.57,0,0,2.87,0.57,0.57,0,0,0,0,0,8.03,0,4.59,267.97,0,0.57,9.18,0,0,0,0,8.61,2.3,0,151.48,0,0,0,0,1.15
 60-70,0,0,0,0,0,0,63.8,0,0.98,1.96,7.85,0.98,0.98,0,0,0,0,0.98,11.78,0.98,1.96,385.74,0,0,11.78,0,0,0,0,6.87,0,0,189.43,0,0,0,0,0.98
 72-82,0,0,0,0,2.94,0.98,59.88,0,0,0,6.87,0,0.98,0.98,0,0.98,0,0.98,12.76,2.94,0.98,321,0,0.98,16.69,0,0.98,0.98,0,2.94,0,0,65.77,0,0,0,2.94,0
 84-94,0,0,0,0,1.06,1.06,42.48,0,0,0,9.56,1.06,1.06,0,1.06,0,0,0,14.87,1.06,5.31,175.24,0,0,21.24,0,2.12,1.06,0,27.61,1.06,0,57.35,2.12,0,0,0,1.06
 96-106,0,0,0,0,2.19,0,25.14,0,0,0,6.56,1.09,0,0,1.09,2.19,0,0,4.37,3.28,1.09,114.75,0,0,42.62,0,0,2.19,0,9.84,0,0,12.02,0,1.09,0,4.37,1.09
108-118,0,0,0,0,1.53,0,20.68,0,0,0,4.6,0,0.77,0,0,0.77,0,0,4.6,1.53,3.06,110.3,0,0,34.47,0,0,0.77,0,15.32,0,0,6.13,0,0.77,1.53,3.83,0
120,0,0,0,0,3.92,0,15.68,0,0,0,3.92,1.96,0,0,0,0,0,0,7.84,0,1.96,86.23,0,0,31.36,0,0,1.96,0,9.8,0,0,3.92,0,0,0,1.96,0
