stage,blastomeres,epidermis,exocrine.pancreas,eye,glial,gut,heart,immune,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,1,0,0,2,0,0,0
 24-34,0,0.82,0,1.64,0,0,0.82,0,0,0,0,0,0,0,50.89,0,4.1,0.82,0,0.82,0,0,2.46,9.85,0,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,1.61,0,0,0.81,44.31,0,7.25,0,0,2.42,0,0,0,18.53,0,0,0
 48-58,0,0,0,5.74,0,0,0,0,0,0.57,1.15,0,0,0,56.81,0,5.74,0,0,0.57,0,0.57,0,3.44,0,0,0.57
 60-70,0,1.96,0,9.82,0,0,0,0.98,0,0,3.93,0,0,0,95.21,0,8.83,2.94,0,0,0,0,0,1.96,0.98,0,0
 72-82,0,0,0,23.56,1.96,0,0,0,0,0,1.96,0,0,0,152.16,0,19.63,0.98,0,0,0,0,0,5.89,0.98,0.98,0
 84-94,0,1.06,0,9.56,2.12,0,0,0,0,0,6.37,0,0,1.06,70.09,0,10.62,4.25,0,0,0,0,0,3.19,0,0,0
 96-106,0,1.09,0,30.6,4.37,1.09,0,0,1.09,0,8.74,0,1.09,2.19,83.06,0,22.95,10.93,0,2.19,0,0,0,1.09,1.09,0,0
108-118,0,0,0,27.57,0.77,0,0,0,0,0,0.77,0.77,0,0,91.92,0,18.38,0,0,1.53,0,0,0,0,0,0,0
120,0,1.96,1.96,17.64,3.92,0,0,0,0,0,1.96,0,0,0,84.27,1.96,19.6,0,0,0,0,0,0,3.92,0,0,0
