stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,1,0,0,0,32,0,0,0,0,5
 24-34,0,0,4.93,0,0.82,0,0,9.85,0,0,0,1.64,0,0,0.82,0,0,0,0,0.82,1.64,0,0,0,488.41,0,2.46,0.82,0,0,0.82,0,0.82,0.82,0.82,149.4,0,0,1.64,0,31.19
 36-46,0,0,4.03,0,1.61,0,0,17.72,0,0.81,0,8.06,0,0,2.42,0,0,0,0,0.81,5.64,0,0,0.81,1269.73,0,4.83,0,0,0,0.81,0,0,0,0,248.95,0,0,3.22,0,8.86
 48-58,0,0,0,0,8.61,0,0,114.19,0.57,1.72,0.57,20.66,0.57,1.15,0,0,2.3,0.57,0,0.57,20.08,0,1.15,5.16,2342.27,0.57,4.02,0,0,0,2.3,0,1.15,0,0,293.79,0,0,8.03,0,10.9
 60-70,0,0,0,0,11.78,1.96,0,235.57,0.98,1.96,0,26.5,0.98,0,0,0,0,0.98,0,0,19.63,0,0,4.91,3942.77,0.98,4.91,0.98,0,0.98,2.94,0,0.98,1.96,0,367.09,0,0.98,3.93,0,3.93
 72-82,0,0,4.91,0,28.47,1.96,0,391.68,0,0,1.96,100.13,2.94,0.98,4.91,1.96,3.93,0,0.98,0.98,50.06,0.98,1.96,3.93,3957.08,1.96,11.78,0.98,0,0.98,4.91,0,0,0.98,0,235.6,1.96,0.98,11.78,1.96,4.91
 84-94,0,0,4.25,0,37.17,5.31,0,317.55,0,0,1.06,93.46,2.12,2.12,3.19,0,1.06,1.06,0,1.06,32.92,0,3.19,5.31,1989.2,0,3.19,3.19,0,2.12,4.25,0,2.12,0,0,156.12,0,0,7.43,3.19,3.19
 96-106,0,0,2.19,0,31.69,5.46,0,233.87,0,5.46,2.19,100.54,8.74,3.28,3.28,1.09,3.28,1.09,3.28,0,40.44,0,3.28,4.37,1604.3,1.09,8.74,2.19,0,0,8.74,0,4.37,1.09,0,66.66,1.09,2.19,9.84,1.09,3.28
108-118,0,0,3.06,0,21.45,4.6,1.53,160.85,0,0.77,0.77,61.28,3.06,0,3.06,0,0,0.77,1.53,0,22.21,0,0.77,3.83,1825.29,1.53,7.66,2.3,0,0.77,1.53,0,1.53,0,0,44.43,3.06,0,6.13,0.77,1.53
120,0,0,1.96,0,23.52,5.88,1.96,174.42,3.92,1.96,1.96,76.43,7.84,1.96,11.76,0,1.96,0,3.92,0,39.2,1.96,0,0,2085.21,3.92,0,1.96,0,1.96,3.92,0,7.84,0,0,45.08,0,0,3.92,0,0
