stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,glial,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,8.21,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,6.45,0,0,0.81,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,16.64,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0.57,0,0
 60-70,0,0,94.23,0,0,0.98,0,0.98,0,0,1.96,0,0,3.93,0,0,0.98,0,0.98,0,0
 72-82,0,0,139.4,0.98,0,0.98,0,0,0,0.98,1.96,0.98,0,10.8,0,0,0,0,0,0,0
 84-94,0,2.12,206.04,0,0,1.06,0,0,1.06,0,4.25,0,0,6.37,0,0,0,0,1.06,1.06,0
 96-106,0,4.37,173.76,1.09,0,1.09,2.19,0,0,0,3.28,0,0,4.37,0,0,4.37,0,0,1.09,1.09
108-118,0,0,144,0,0,3.06,0,0,0,0.77,5.36,0,0,5.36,0,0,0.77,0,0,0,0
120,0,1.96,213.62,0,3.92,0,0,0,0,0,1.96,0,1.96,5.88,0,1.96,0,1.96,0,0,0
