stage,blastomeres,eye,glial,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,pgc,pronephros,spinal.cord,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,6,0,0,0,0,0,1,9,0,0,0,0,0,0,1
 24-34,0,14.78,0,0,0.82,0,0,0,4.93,0,0,0,0,0,0,4.93
 36-46,0,12.89,0,0,0,0,0,0,4.03,0,0,0,0,2.42,0,0
 48-58,0,14.92,0.57,0,0.57,0,0.57,0,6.31,0.57,0,0,0.57,1.72,0,0
 60-70,0,42.21,0,0,0,1.96,0,0,2.94,0,0,0,0,0,0,0
 72-82,0,78.53,0.98,0,0,0.98,0,0,1.96,0,0.98,0,0,0,0,0.98
 84-94,0,41.42,2.12,0,0,1.06,0,0,4.25,0,0,0,0,0,0,0
 96-106,0,19.67,2.19,0,0,1.09,0,1.09,6.56,0,0,0,0,0,1.09,0
108-118,0,17.62,0,0,0,1.53,0,0,0.77,0.77,0,0,0,0,0,0
120,0,13.72,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0
