stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,10.51,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.58,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,115,2,0,3,0,1,0,3,2,1,0,1,0,0,0,0,16,0,0,7,65,1,1,10,2,0,5,2,4,1,19,0,0,0,0,0
 24-34,0,0,0,1.64,104.25,0.82,0,13.13,0,14.78,0.82,6.57,0,0.82,0,0.82,0.82,4.1,0,0.82,37.76,0,0,7.39,157.6,5.75,6.57,8.21,0,0,44.33,0,13.95,0,58.28,0,0,9.03,0,0
 36-46,0,0,0,0,53.17,0.81,0,9.67,0,16.92,0,8.86,0.81,2.42,0,0,0,4.03,0,0,37.87,0,0.81,8.86,193.36,7.25,4.03,6.45,0,0,32.23,0,4.03,0,52.37,0,0,5.64,0,0
 48-58,0,0,0,0,63.12,0,0,20.66,0,26.97,1.15,19.51,0,1.72,0,0,0.57,2.3,0,0.57,63.69,0.57,2.3,9.18,278.3,2.3,5.16,16.64,0,0,48.2,0,1.72,0,55.09,0,0,6.89,0,0
 60-70,0,0,0,0,66.74,0.98,0,47.11,0,31.41,1.96,33.37,0,0,3.93,1.96,0,1.96,0,0,107.97,1.96,1.96,3.93,454.44,2.94,1.96,9.82,0,0,48.09,0,9.82,0,53.98,0,0,11.78,0,0
 72-82,0,0,0.98,0,72.64,0,0,85.4,0,29.45,2.94,77.55,0.98,2.94,4.91,2.94,0,4.91,0.98,0,153.14,1.96,3.93,5.89,431.93,1.96,5.89,23.56,0,0,51.05,0,27.49,0,39.27,0.98,0.98,14.72,0,0.98
 84-94,0,0,1.06,0,145.5,1.06,0,61.6,1.06,60.54,0,48.85,2.12,0,10.62,1.06,2.12,4.25,1.06,0,111.51,7.43,5.31,4.25,223.03,2.12,5.31,21.24,0,0,149.75,0,47.79,0,25.49,1.06,0,15.93,2.12,0
 96-106,0,0,0,1.09,136.61,3.28,1.09,59.01,1.09,45.9,0,44.81,1.09,2.19,7.65,2.19,2.19,17.49,2.19,0,48.09,2.19,6.56,3.28,198.9,1.09,13.11,19.67,0,1.09,118.03,0,57.92,0,25.14,5.46,1.09,19.67,2.19,0
108-118,0,0,0,0.77,144,0.77,0,50.55,0,56.68,1.53,51.32,2.3,0.77,6.89,3.83,0.77,3.83,0,0,36,2.3,2.3,2.3,219.83,0.77,9.96,21.45,0,0.77,76.6,0,63.57,0,13.02,3.06,0.77,9.96,1.53,0
120,0,0,0,1.96,180.3,3.92,0,56.83,0,52.91,0,29.4,3.92,0,11.76,0,0,3.92,1.96,0,41.16,0,5.88,0,250.85,0,7.84,25.48,0,0,92.11,0,50.95,0,15.68,3.92,0,11.76,0,0
