stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,2,2,0,7,0,0,0,1,1,0,1,0,1,0,0,0,0,9,0,0,6,39,2,0,0,2,0,0,2,1,0,25,24,13,0,0,0,0,0
 24-34,0,0.82,0.82,0,0,6.57,0,0.82,0,1.64,0,0,0.82,0,1.64,0,0,0,0,10.67,0.82,0,2.46,30.37,27.09,0,0,0,0,0.82,0,0,0.82,3.28,2.46,5.75,0,0,0.82,0,1.64
 36-46,0,0,1.61,0,0,8.06,0.81,0,0.81,3.22,0,0,0,0.81,0,0.81,0,0,0,12.09,0,0,2.42,16.11,43.51,0,0,0,0,0,0,0,0,0.81,0,4.83,0,0,2.42,0,0
 48-58,0,0,0,0,0,13.2,1.72,0,1.15,5.74,0.57,0,1.15,0,0,0,0.57,0.57,0,12.05,0.57,0,2.3,21.8,57.38,0,0,0,0,0,0,0,0,0.57,0,2.87,0,0,1.72,0,0.57
 60-70,0.98,0,0.98,0,0,13.74,0,0,3.93,16.69,0.98,0,0,0,0,0,0,0,0.98,12.76,0,1.96,2.94,20.61,39.26,0,0,0,0,0,0,0,0.98,0,0,2.94,0,0,1.96,0,0.98
 72-82,0,0,2.94,0,0,17.67,0,0,0.98,17.67,3.93,0.98,2.94,1.96,0.98,1.96,0.98,1.96,1.96,24.54,0,0,2.94,23.56,23.56,0,0,0,0,0,0,0,0,0.98,0,4.91,0,0.98,6.87,0.98,0
 84-94,0,3.19,3.19,1.06,0,8.5,0,0,1.06,14.87,3.19,0,1.06,7.43,2.12,2.12,0,2.12,2.12,30.8,0,1.06,5.31,15.93,41.42,0,1.06,0,0,1.06,0,0,0,1.06,0,3.19,0,0,1.06,1.06,0
 96-106,0,2.19,1.09,1.09,1.09,12.02,0,0,3.28,15.3,6.56,0,0,7.65,0,0,0,1.09,1.09,21.86,0,1.09,2.19,20.76,14.21,2.19,1.09,0,0,0,0,0,0,0,0,1.09,0,0,8.74,2.19,1.09
108-118,0,0.77,0.77,0.77,2.3,15.32,2.3,0.77,2.3,19.15,9.19,0,0.77,4.6,0.77,7.66,0.77,2.3,3.83,29.11,0,0,2.3,19.92,17.62,0,2.3,0,0.77,0,0,0,0.77,0,0,0,0.77,0.77,7.66,0.77,0
120,0,0,5.88,0,0,7.84,0,0,0,3.92,5.88,0,1.96,1.96,0,7.84,0,3.92,5.88,13.72,0,1.96,1.96,21.56,15.68,0,1.96,0,0,0,0,0,0,0,0,3.92,0,0,3.92,0,0
