stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,23,2,0,0,2,0,1,0,0,0,0,0,1,4,0,0,4,45,1,0,0,2,0,0,1,0,0,3,20,0,0,15,0,1
 24-34,0,1.64,3.28,9.03,0,0.82,9.03,0,1.64,0.82,0,0.82,0,0,1.64,16.42,0,0,19.7,174.02,2.46,0.82,0.82,0,0,1.64,0,0.82,0,1.64,54.18,0,0,41.86,0,4.1
 36-46,0,0.81,0.81,9.67,0,0.81,18.53,0,0,0.81,0,0.81,0,0,8.06,12.89,0,0,6.45,189.33,0,0,0,0,0,0,0,0,0.81,0,38.67,0,0,24.17,0,7.25
 48-58,0,0.57,0.57,20.08,0,3.44,49.92,0,0.57,0.57,0,1.72,0,0,13.77,23.53,0,0,6.31,208.86,0,0,0,0,0,1.15,0,0,0,0,45.9,0,0.57,30.99,0,18.94
 60-70,0,1.96,0.98,109.93,0.98,4.91,75.58,0,1.96,2.94,0,1.96,0,0,8.83,20.61,0,1.96,5.89,322.92,0.98,0,0,0,0.98,0.98,0,0,0,0,41.22,0,0,26.5,0.98,13.74
 72-82,0,4.91,0.98,328.86,0,2.94,110.93,1.96,0.98,2.94,0,1.96,0,0.98,6.87,53.01,0.98,1.96,8.83,491.81,0,0,0.98,0,1.96,1.96,0,0,0,0,26.5,0,0,70.68,0.98,23.56
 84-94,0,10.62,1.06,184.79,2.12,2.12,64.78,0,1.06,11.68,1.06,5.31,0,2.12,18.05,23.36,0,4.25,9.56,252.76,1.06,0,2.12,0,1.06,2.12,0,1.06,0,0,15.93,0,2.12,50.98,4.25,16.99
 96-106,0,12.02,3.28,201.08,1.09,3.28,56.83,1.09,4.37,8.74,0,9.84,2.19,2.19,10.93,27.32,0,1.09,4.37,225.13,0,0,1.09,0,2.19,1.09,0,1.09,1.09,0,5.46,1.09,2.19,49.18,5.46,21.86
108-118,0.77,6.13,3.06,158.55,0.77,0.77,63.57,0.77,0.77,7.66,0,7.66,0,1.53,20.68,18.38,0,3.06,6.13,269.62,0,0.77,2.3,0,0,2.3,0,0.77,0,0,7.66,2.3,3.83,43.66,1.53,13.02
120,1.96,17.64,1.96,113.67,0,0,62.71,0,0,3.92,0,1.96,0,1.96,7.84,17.64,0,0,0,395.88,1.96,0,3.92,0,0,0,0,0,0,0,13.72,0,0,29.4,3.92,0
