stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,2016.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,110.33,2157.63,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,61.3,6.13,0,0,24.52,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,36.8,44.69,0,0,0,107.78,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,1164.52,7.89,0,0,423.22,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,25.18,0,0,0,62.94,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,509.81,3.15,0,0,223.43,0,0,0,0,18.88,0,0,0,0,0,0,0,0
 14-21,0,0,5,32,5,0,47,0,0,0,23,3,0,0,0,5,0,0,0,0,41,0,0,25,903,10,6,3,15,0,15,0,26,2,1,25,299,0,0,5,0,1
 24-34,0,0,0,26.27,7.39,0,247.08,0,0.82,0.82,26.27,0,0,1.64,0,1.64,0,1.64,0.82,0,88.65,0,0,39.4,1147.56,4.1,9.03,8.21,0,0,20.52,0,0,0,0,2.46,251.18,0,0,15.6,0,1.64
 36-46,0,0,0,12.09,3.22,0,597.81,0,2.42,0,24.98,2.42,0,0.81,0,0.81,1.61,1.61,0,0,126.49,0.81,0.81,33.03,1004.67,3.22,10.47,5.64,0,0,13.7,0,0,0.81,0,0,244.92,0,0,6.45,0,0.81
 48-58,0,0,0,13.77,1.15,0,444.7,0,1.15,2.87,26.97,1.15,0,0.57,1.15,1.72,0.57,3.44,0.57,1.15,99.27,0,7.46,23.53,321.9,1.72,2.3,3.44,0,0,6.89,0,0,0.57,0,0,45.9,0,0,8.61,0,1.72
 60-70,0,0,0,8.83,0,0,352.37,0,0.98,2.94,58.89,3.93,0,0.98,0,0.98,0.98,1.96,0.98,0.98,78.52,0.98,7.85,13.74,243.42,0,1.96,1.96,0,0.98,8.83,0,0,1.96,0,0,18.65,0,0,6.87,0.98,1.96
 72-82,0,0,0,17.67,0.98,0,111.91,0.98,0,2.94,57.92,3.93,0,2.94,1.96,2.94,0.98,3.93,0,0.98,100.13,1.96,5.89,19.63,142.34,1.96,1.96,4.91,0,0.98,8.83,0,0,0.98,0,0,6.87,0.98,0,12.76,0,0
 84-94,0,0,1.06,25.49,6.37,1.06,113.64,0,0,3.19,43.54,7.43,0,0,7.43,0,3.19,0,2.12,0,79.65,0,6.37,20.18,137,3.19,1.06,4.25,0,0,20.18,0,0,1.06,0,0,1.06,1.06,0,15.93,2.12,0
 96-106,0,0,1.09,22.95,2.19,0,68.85,0,1.09,0,41.53,12.02,0,0,7.65,3.28,0,2.19,2.19,1.09,59.01,0,1.09,9.84,110.38,0,3.28,5.46,0,0,12.02,0,0,3.28,0,0,1.09,0,2.19,7.65,0,0
108-118,0,0,0,30.64,5.36,0.77,76.6,0,0,0.77,43.66,9.19,0,0.77,3.06,1.53,2.3,0.77,0.77,0.77,52.09,0.77,0.77,14.55,176.17,1.53,0.77,3.83,0,0,21.45,0,0,1.53,0,0,1.53,1.53,0,7.66,0.77,0.77
120,0,0,0,15.68,9.8,0,74.47,0,0,1.96,72.51,1.96,0,0,5.88,0,3.92,1.96,1.96,0,47.03,0,0,13.72,129.35,1.96,1.96,1.96,0,0,13.72,1.96,0,0,0,0,3.92,0,1.96,3.92,0,0
