stage,blastomeres,epidermis,erythrocytes,eye,ionocyte,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,6.29,0,0,3.15,3.15,3.15,0,0
 14-21,0,0,0,0,0,0,1,0,0,1,0
 24-34,0,0,0,0,0,0,3.28,0,3.28,0.82,0
 36-46,0,0,0,1.61,0,2.42,2.42,0,0,0,0
 48-58,0,0,0,0,0,1.15,1.72,0,0,0,0
 72-82,0,0,0,0.98,0,1.96,0.98,0,0,0,0.98
 84-94,0,2.12,1.06,0,0,0,0,0,1.06,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,1.96,0,0,0,1.96,0,0
