stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,184.49,1858.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,1379.17,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,55.17,6.13,0,0,18.39,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,44.69,47.32,0,107.78,0,0,212.93,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,1385.33,60.46,0,0,651.92,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,59.79,0,135.32,0,6.29,217.14,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,1790.63,69.23,0,0,859.12,0,3.15,0,3.15,69.23,0,6.29,3.15,0,0,0,0,0
 14-21,0,0,0,14,373,61,116,3,0,100,5,1,3,0,3,1,0,0,1,125,0,0,87,1340,29,19,64,100,0,14,1,301,53,0,184,703,0,0,4,0,0
 24-34,0,0,1.64,5.75,81.26,3.28,165.81,6.57,4.93,82.91,2.46,0,0.82,0.82,0,1.64,9.03,1.64,1.64,178.95,0.82,1.64,84.55,1060.55,4.93,34.48,25.45,0,0,41.04,0,1.64,10.67,1.64,34.48,356.25,0,0,22.98,0,0
 36-46,0,0,0,1.61,24.17,0,339.19,2.42,9.67,61.23,1.61,0,3.22,0,0.81,0.81,4.83,0,0.81,223.17,1.61,4.03,70.9,869.32,0.81,43.51,16.11,0,0.81,29,0,0.81,8.06,0,0.81,269.9,0,0.81,11.28,0,0
 48-58,0,0,0,1.15,17.21,0,496.92,1.72,9.18,65.99,0.57,0,3.44,0.57,0,0.57,5.74,1.72,0,285.18,0.57,7.46,50.49,568.64,1.72,18.94,14.35,0,1.15,12.62,0,0,3.44,0,0,163.53,0,1.15,7.46,0,1.15
 60-70,0,0,0.98,0,15.7,0,708.66,0.98,6.87,78.52,2.94,0,0,0,0,0,2.94,1.96,0,271.88,0,15.7,30.43,559.47,0.98,25.52,12.76,0,1.96,9.82,0,0,2.94,0.98,0,84.41,0.98,6.87,0.98,2.94,0.98
 72-82,0,0,4.91,0,32.39,1.96,418.19,2.94,6.87,94.24,5.89,0,1.96,0,0.98,1.96,9.82,0.98,0,316.1,2.94,7.85,38.28,416.22,0.98,42.21,28.47,0,0.98,6.87,0,0,1.96,0,0,57.92,0,4.91,7.85,3.93,0.98
 84-94,0,0,4.25,1.06,25.49,2.12,361.09,6.37,14.87,76.47,15.93,2.12,2.12,0,2.12,0,15.93,1.06,0,258.08,1.06,18.05,43.54,253.83,4.25,47.79,44.61,0,1.06,42.48,0,0,8.5,0,0,41.42,2.12,7.43,6.37,5.31,2.12
 96-106,0,0,4.37,1.09,30.6,3.28,229.5,8.74,14.21,60.11,14.21,0,3.28,2.19,2.19,2.19,18.58,5.46,0,220.76,4.37,8.74,29.51,218.57,2.19,89.61,57.92,0,3.28,28.41,0,0,3.28,0,0,43.71,2.19,10.93,12.02,6.56,2.19
108-118,0,0,3.83,2.3,46.72,1.53,190.72,6.89,9.19,75.83,11.49,0,0.77,3.83,2.3,2.3,16.09,0.77,1.53,173.11,3.06,3.83,37.53,270.38,3.83,57.45,42.13,0,0.77,22.21,0,0,5.36,0,0,29.11,2.3,1.53,8.43,2.3,0.77
120,1.96,0,1.96,0,41.16,0,135.23,3.92,3.92,60.75,11.76,0,7.84,3.92,3.92,3.92,11.76,1.96,0,123.47,1.96,1.96,21.56,166.58,0,27.44,39.2,0,0,9.8,0,0,3.92,0,0,11.76,0,0,5.88,0,0
