stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,4,0,0,0,0,26,0,0,0,0,0
 24-34,3.28,1.64,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,343.12,23.8,0.82,0.82,0,0,128.87,0,0,0,0,0
 36-46,1.61,0.81,0,58.81,0,0,0,8.86,0,0,0,0,0,0,0,0,0.81,0,0,1.61,1057.84,27.39,0.81,0.81,0,0,278.76,0,0,0,0,0.81
 48-58,0.57,1.15,0,127.38,0,0,1.15,16.64,0,0,0,0,0,0,0,1.15,4.59,0,0,2.87,982.93,16.07,0.57,0,0.57,0.57,208.29,0,0,0,0,0.57
 60-70,0,2.94,0,436.78,0.98,1.96,0.98,21.59,0,0,0,0,0,0,0,0,14.72,0,0.98,0.98,1783.43,19.63,0,0.98,0,0,248.33,0,0.98,0,0,0
 72-82,1.96,2.94,2.94,405.43,0,0,0,19.63,0,0,0.98,0,0.98,0,0,0,16.69,0,0.98,0.98,1344.88,19.63,0,2.94,0.98,0,103.07,5.89,0,2.94,0.98,0.98
 84-94,2.12,10.62,0,267.63,0,1.06,1.06,27.61,0,1.06,0,0,2.12,1.06,1.06,0,14.87,0,2.12,0,696.7,18.05,1.06,1.06,0,0,59.47,3.19,1.06,2.12,1.06,1.06
 96-106,1.09,4.37,3.28,182.51,0,0,0,15.3,0,1.09,0,0,3.28,0,1.09,0,12.02,0,0,0,492.87,17.49,1.09,3.28,0,0,21.86,4.37,2.19,0,1.09,3.28
108-118,0,6.13,0,133.28,0,0,0,17.62,0.77,0,1.53,1.53,0,0,0,0.77,5.36,0.77,0.77,0,538.47,14.55,0.77,0,0,0,17.62,8.43,0,0,0.77,0.77
120,0,7.84,1.96,103.87,0,0,0,13.72,0,1.96,1.96,0,0,0,1.96,0,5.88,0,0,0,513.46,7.84,0,0,0,0,21.56,1.96,0,1.96,0,0
