stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,somites,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,1,1,0,0,0,0,0,0,2,0,5,12,0,0,0,2,13,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,6.57,0,1.64,23.8,0,0,0,0,27.09,0,0
 36-46,0,1.61,0,0,1.61,2.42,0,0,5.64,0,0,64.45,0,0,0,0,45.92,0,0
 48-58,0,0.57,0,2.3,1.72,2.87,0,0,4.02,0,2.3,71.73,0.57,0,0,0,30.99,0,0
 60-70,0,0.98,0,0.98,0,0.98,0,0.98,17.67,0,0.98,47.11,0,0,0,0,23.56,0,0.98
 72-82,0,0.98,0.98,1.96,0.98,3.93,0,0,15.71,0.98,1.96,23.56,0,0,0.98,0,12.76,0.98,0
 84-94,0,0,0,3.19,0,0,1.06,0,14.87,0,1.06,19.12,0,0,0,0,8.5,0,0
 96-106,0,0,0,2.19,0,0,0,1.09,15.3,0,1.09,14.21,0,0,2.19,0,0,1.09,0
108-118,0,1.53,0,1.53,0,0.77,0,0,6.89,0,0.77,9.96,0,0.77,0,0,1.53,0,0
120,0,0,1.96,1.96,1.96,1.96,0,0,15.68,0,0,13.72,0,0,3.92,0,1.96,1.96,0
