stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,7.89,5.26,0,0,10.51,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,65.72,5.26,0,0,34.17,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,6.29,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,154.2,9.44,0,0,78.67,0,0,0,12.59,0,0,0,0,0
 14-21,0,0,0,21,5,16,0,0,4,1,0,1,0,0,0,0,0,14,0,12,166,4,3,0,6,0,7,12,0,5,40,1,0,0
 24-34,0,0,0.82,4.93,2.46,56.64,0,0,5.75,0,0,0,0,0.82,0,0,2.46,48.43,0,14.78,409.61,0.82,0.82,3.28,0,0,8.21,0,0,4.1,70.59,5.75,0,0.82
 36-46,0,0,0,6.45,1.61,136.96,0.81,0,6.45,0,0,2.42,1.61,0,0.81,0.81,0.81,40.28,0.81,12.89,285.21,0,0,0.81,0,0,1.61,0,0.81,0,67.68,0.81,0,0
 48-58,0,0,0,4.02,0.57,193.37,1.72,0,14.92,0.57,0,1.72,1.72,1.15,0.57,0.57,0,55.09,4.02,8.61,142.3,0,2.3,0.57,0,0,1.15,0,0,0,22.95,2.87,0,0
 60-70,0,0,0,6.87,0.98,107.97,0.98,0.98,11.78,0.98,0,0.98,0,0,0,0.98,0,31.41,2.94,5.89,70.67,0,0.98,1.96,0,0,2.94,0,0,0,1.96,3.93,0.98,0.98
 72-82,0,0,0,4.91,0.98,51.05,0,0.98,20.61,0,0,1.96,0.98,0,0,0.98,0,54.97,9.82,6.87,65.77,0,0.98,1.96,0,0,2.94,0,0.98,0,0.98,5.89,0.98,0
 84-94,0,0,0,7.43,0,53.1,0,1.06,12.74,2.12,0,0,3.19,0,2.12,2.12,1.06,37.17,3.19,4.25,56.29,0,2.12,1.06,0,0,7.43,0,1.06,0,1.06,7.43,0,0
 96-106,0,0,0,6.56,0,37.16,0,0,17.49,3.28,0,0,3.28,0,0,0,0,40.44,5.46,0,41.53,0,0,1.09,0,1.09,1.09,0,0,0,0,4.37,0,0
108-118,0,0,0,11.49,3.83,22.98,0.77,0,18.38,1.53,0,0,1.53,0,1.53,0,0,21.45,0.77,4.6,46.72,0,0,3.06,0,0.77,3.83,0,0.77,0,0,4.6,0,0
120,0,0,0,5.88,3.92,27.44,0,0,7.84,0,0,0,0,0,0,0,0,13.72,0,1.96,50.95,1.96,0,3.92,0,0,0,0,0,0,0,1.96,1.96,0
