stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0
 24-34,0,0,0,0,1.64,0.82,0,2.46,0,0,0,1.64,0,0,0,0,0,0,0,0.82,0,2.46,0,0,1.64,295.51,0.82,0.82,0.82,0,0,0.82,0,0,0,1.64,62.39,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0.81,0,8.06,0,0.81,0,0.81,0,0,0,0.81,0,0,0,0,1.61,5.64,0,0,2.42,760.55,0.81,2.42,1.61,0,0,0.81,0,0,0.81,0,115.21,0,0,0.81,0,0
 48-58,0.57,0,0,0,2.3,0,0,70.58,0,0.57,0,7.46,0,0,0.57,0,0,0,0,0,2.3,13.77,0,0,2.3,1119.49,0.57,4.02,0,0,0,4.59,0,0,0,0,164.11,0,0,2.3,0,2.3
 60-70,0,0,0,0,7.85,0,0,448.56,0.98,0.98,1.96,15.7,0,0,0,0.98,0,0,0.98,0,0.98,23.56,0,0,0.98,2494.05,0.98,2.94,0.98,0,0,3.93,0,0,0,0,287.59,0,0,1.96,0,0.98
 72-82,0,0,0.98,0,9.82,1.96,0,557.58,0,0.98,3.93,59.88,2.94,0,0,1.96,0.98,1.96,0,0,0,40.25,0,0,0.98,1748.34,1.96,2.94,0.98,0,0.98,3.93,0,0,0,0,125.65,1.96,0.98,5.89,0.98,1.96
 84-94,0,0,0,0,19.12,3.19,0,372.78,1.06,1.06,1.06,41.42,0,0,0,0,0,1.06,1.06,1.06,2.12,31.86,0,1.06,3.19,839.01,1.06,1.06,6.37,0,0,5.31,0,0,0,0,91.34,0,1.06,5.31,2.12,2.12
 96-106,0,0,0,0,16.39,2.19,0,326.76,0,0,0,40.44,1.09,0,1.09,5.46,1.09,0,0,0,1.09,30.6,1.09,1.09,4.37,715.81,0,3.28,1.09,0,0,7.65,0,0,0,0,44.81,1.09,1.09,2.19,0,1.09
108-118,0,0,0,0,10.72,3.06,0.77,193.79,0.77,0.77,0.77,37.53,2.3,0,0.77,0.77,0,1.53,0,0.77,3.06,16.85,0,0.77,2.3,759.84,0.77,3.06,2.3,0,0.77,3.06,0,1.53,0,0,24.51,0,0,7.66,0.77,1.53
120,0,0,0,0,23.52,7.84,0,213.62,0,0,0,27.44,1.96,0,0,3.92,1.96,0,0,0,0,29.4,0,1.96,3.92,1003.41,0,3.92,1.96,0,0,3.92,0,0,0,0,27.44,0,0,1.96,0,1.96
