stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,1686.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,36.78,839.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,12.26,0,0,0,0,0,0,0,0,0
  7-9,13.14,21.03,15.77,0,0,31.54,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,273.39,5.26,0,0,178.75,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,12.59,22.03,0,0,28.32,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,258.05,6.29,0,0,119.58,0,6.29,0,3.15,3.15,3.15,0,0,0,0
 14-21,0,0,1,18,4,3,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,9,139,3,1,0,3,3,0,24,3,12,49,0,1,0,0
 24-34,0,0,0.82,4.1,0.82,40.22,0,0,0,3.28,0.82,0,0,0,0.82,0,0.82,1.64,27.91,0,0,10.67,311.1,2.46,11.49,3.28,0,7.39,0,0,2.46,2.46,64.03,0,3.28,0,0
 36-46,0,0,0,4.83,0.81,170,0,0.81,0,8.06,0.81,0,1.61,0,0,0,0,0,26.59,0,0,5.64,261.84,0,6.45,0,0,1.61,0,0.81,0,0,50.76,0,0.81,0,0.81
 48-58,0,0,0,2.3,1.15,200.83,1.15,0.57,0,8.61,0,0,0.57,0,0,0,0,0,24.67,0,1.15,7.46,160.09,0,2.87,0.57,0,1.72,0,0,0,0,28.12,0,0,0,0
 60-70,0,0,0,0.98,0,183.54,0,0,0,8.83,0,0,0.98,0,0,0,0,0,21.59,0,0.98,2.94,162.93,1.96,5.89,0.98,0,0,0,0,0,0,11.78,0,1.96,0,0.98
 72-82,0,0,0,2.94,0,96.2,0,0,3.93,8.83,2.94,0,0.98,0,0,0,0,0,34.36,0,0,1.96,126.63,0,11.78,1.96,0,1.96,0,0,0,0,13.74,0,0.98,0,0
 84-94,0,0,0,3.19,0,71.16,0,0,0,5.31,6.37,0,0,1.06,0,0,0,0,19.12,0,5.31,3.19,60.54,0,5.31,2.12,0,3.19,0,0,0,0,7.43,0,4.25,2.12,0
 96-106,0,0,0,1.09,0,52.46,0,0,0,6.56,3.28,0,2.19,2.19,0,1.09,0,1.09,17.49,1.09,2.19,5.46,67.76,0,8.74,2.19,0,0,0,0,1.09,0,4.37,1.09,1.09,1.09,0
108-118,0,0,0.77,4.6,0,37.53,0,0.77,0,9.96,2.3,0,0,0.77,0,0.77,1.53,0,10.72,1.53,0,0,68.17,0.77,4.6,0.77,0,3.83,0,0,0.77,0,0.77,0,3.83,0,0
120,0,0,0,1.96,0,29.4,0,0,0,5.88,0,0,0,0,0,0,0,0,19.6,0,0,0,60.75,0,3.92,0,0,1.96,0,0,0,0,0,0,1.96,0,0
