stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,37.76,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,3,2,0,1,0,6,0,0,0,0,0,21,0,0,0,0,0,2,0,1,3,7,0,0,0
 24-34,0,0.82,0,0.82,0,0.82,0,0,0,0,0.82,0,0.82,0,0.82,27.09,0,0,0,0,0,0,0,0,0.82,9.85,0,0,0
 36-46,0,0.81,0,0,0,0.81,0,0,0,1.61,0,0,0,0,0,53.17,0,0,0,0,0.81,0,0,0,0,8.86,0,0,0
 48-58,0,0,0,0,0,4.59,0,1.15,0,0,0.57,0,0.57,1.15,0,47.05,0,0,0.57,0,0.57,0,1.15,0,0,9.18,0,0,0
 60-70,0,0.98,0,2.94,0,26.5,0,3.93,0,0.98,0,0,0,0.98,0,101.1,0,0,0,0,0,0,0.98,0,0,6.87,0.98,0,0.98
 72-82,0,4.91,0,0,0.98,41.23,0,19.63,0.98,0.98,0.98,0,2.94,0.98,0,81.48,0,0.98,0,0,0,0,0,0,0,3.93,0.98,0,0.98
 84-94,0,2.12,0,0,0,28.68,0,9.56,1.06,1.06,1.06,1.06,0,0,0,53.1,0,0,0,0,1.06,0,0,0,0,2.12,0,0,0
 96-106,0,1.09,0,5.46,0,24.04,0,17.49,1.09,0,0,0,4.37,1.09,0,59.01,0,0,0,0,0,0,0,0,0,1.09,0,1.09,0
108-118,0,0,0,3.06,0.77,20.68,0.77,9.19,0,0,0.77,0,0.77,0.77,0,59.75,0,0.77,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,15.68,0,1.96,0,0,0,0,0,0,0,76.43,0,0,0,0,0,0,0,0,0,0,0,0,0
