stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,105.15,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,160.35,2.63,0,99.89,0,0,2.63,0,0,0,0
 10-12,3.15,15.73,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,195.11,0,0,50.35,3.15,0,3.15,0,0,0,0
 14-21,0,0,140,0,0,0,0,1,0,0,1,0,9,0,4,0,0,1,13,0,1,0,2,3,0,1,10,0,0
 24-34,0,0.82,89.47,0,1.64,0,0,0,0,0.82,0,3.28,9.03,0,2.46,0,0,3.28,13.95,0,0,0,9.03,0,0,0,8.21,0,0.82
 36-46,0,0,26.59,0,0.81,0,0,0,0,0,0,2.42,0,0,4.83,0,0,0,9.67,0,0,0,8.06,0,0,0,3.22,0,0
 48-58,0,0,18.36,0,1.15,0,2.3,0,0.57,0,0,1.15,1.72,0,5.16,0.57,0,1.15,12.05,0,0,0,3.44,0,0,0,5.74,0,0
 60-70,0,0,8.83,0,0.98,0,8.83,0,0,0,0,0,4.91,0,0.98,0,0,0,6.87,0,0,0,2.94,0,0,0,10.8,0,0.98
 72-82,0,0,14.72,0.98,1.96,0.98,8.83,0,0,0.98,0,1.96,0.98,0.98,8.83,0,0,0,6.87,0,0,0,3.93,0,0,0,6.87,0.98,1.96
 84-94,0,0,37.17,0,1.06,2.12,4.25,1.06,0,0,0,1.06,0,0,3.19,0,0,0,3.19,0,0,0,2.12,0,0,0,7.43,0,1.06
 96-106,0,0,13.11,0,3.28,0,7.65,1.09,0,0,0,0,0,0,5.46,1.09,1.09,0,2.19,0,0,0,2.19,0,0,0,1.09,0,0
108-118,0,0,18.38,0,1.53,3.83,6.13,0.77,0,0.77,0,0.77,0,0,4.6,0,0,0,3.83,0,0,0,2.3,0,0,0,0,0,1.53
120,0,0,15.68,0,0,0,3.92,0,0,0,0,0,1.96,0,1.96,1.96,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0
