stage,axial,blastomeres,eye,hatching_gland,ionocyte,liver,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,36.78,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,2.63,0,0,10.51,2.63,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,1,0
 24-34,0,0,0,0,0,0,1.64,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0.81
 48-58,0,0,0,0,0,0,1.15,0,0.57,1.15,0
 60-70,0,0,0,0,0,0,3.93,0,0,0.98,0
 72-82,0,0,0.98,0,0,0.98,0.98,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0
120,0,0,0,0,1.96,0,3.92,0,0,0,0
