stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0.82,33.66,0.82,0,0,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,4.03,0,1.61,0,0,0,0,25.78,0,0,45.92,2.42,1.61,0,0,0.81,2.42,0,0,0,0
 48-58,0,0,0,0,3.44,0,0,0.57,4.02,0,0.57,0,0,0,0,43.04,0.57,1.72,10.33,0,2.87,0,0.57,0,3.44,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,0,3.93,0.98,0,0,0,0,0,0,99.13,0,3.93,9.82,0,1.96,0.98,0,0,2.94,0,0,0,0
 72-82,0,0,0,1.96,7.85,0.98,0,2.94,1.96,0.98,0.98,1.96,0,0,0,155.1,0.98,3.93,8.83,0.98,11.78,0,0,0,1.96,0,0,0,0
 84-94,0,0,0,0,8.5,0,0,2.12,2.12,0,0,0,0,1.06,0,82.84,0,3.19,7.43,3.19,10.62,2.12,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,2.19,0,1.09,2.19,1.09,0,1.09,0,1.09,1.09,0,89.61,1.09,0,13.11,2.19,19.67,1.09,1.09,0,0,1.09,1.09,0,0
108-118,0,0,0,0.77,2.3,0,0,1.53,1.53,0,0.77,1.53,0,0,0,82.72,0,1.53,10.72,1.53,19.15,0,0,0,0,0,0,0.77,0
120,0,0,0,0,3.92,0,0,0,0,0,0,0,0,1.96,1.96,78.39,0,0,9.8,0,15.68,0,0,0,1.96,0,1.96,0,0
