stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3,13,9,0,11,0,0,0,4,4,0,0,0,0,0,0,20,0,0,9,56,14,0,0,5,0,0,28,2,3,29,20,0,2,0,0
 24-34,0,2.46,9.03,1.64,0,16.42,0,0.82,1.64,0.82,1.64,0,3.28,0,0,0,0,25.45,0,0,16.42,68.13,3.28,0,0,0,0,4.1,0,0,0,8.21,15.6,0,10.67,0,0
 36-46,0,0,4.83,0,0,14.5,0.81,0,2.42,2.42,0,0,0.81,0,0,0,0,32.23,2.42,0,9.67,62.04,2.42,0,0,0,0,2.42,0,0,0,0.81,7.25,0,4.03,0,1.61
 48-58,0,0,1.15,0,0,11.48,0.57,0,4.02,2.3,0.57,0.57,0.57,0,1.15,0,0.57,25.82,0,0,6.89,17.79,2.3,0,1.15,0,0,0.57,0,0.57,0,0,5.16,0,3.44,0,0
 60-70,0,0,5.89,0,0,14.72,0,0,4.91,4.91,0,0,0.98,0,0,0,0,15.7,0.98,0,3.93,15.7,0.98,0,1.96,0,0.98,0,0,0.98,1.96,0,0.98,0.98,1.96,0,0.98
 72-82,0,0,3.93,0,0.98,12.76,0,0,2.94,7.85,0,1.96,0.98,0,0,0,0,36.32,0.98,0,3.93,30.43,0,0,0,0,0,0.98,0,0,0,0,1.96,1.96,5.89,0,0
 84-94,1.06,0,9.56,0,0,8.5,0,3.19,4.25,6.37,0,0,1.06,0,1.06,1.06,1.06,26.55,0,1.06,2.12,16.99,0,0,1.06,0,0,0,0,0,0,0,4.25,0,2.12,1.06,0
 96-106,0,0,7.65,0,0,16.39,0,1.09,5.46,4.37,2.19,0,0,0,0,0,0,26.23,0,1.09,4.37,13.11,1.09,0,1.09,0,1.09,1.09,0,0,1.09,0,0,1.09,3.28,1.09,0
108-118,0,0,3.06,0,0,12.26,0,1.53,3.06,5.36,0.77,0.77,0.77,0.77,0,0.77,0,19.92,0.77,0.77,2.3,15.32,1.53,0.77,0.77,0,0,0,0,0,1.53,0,0,1.53,4.6,0.77,0
120,0,0,9.8,0,0,3.92,0,3.92,0,7.84,1.96,1.96,0,0,0,0,0,13.72,0,0,5.88,15.68,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
