stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,1,0,0,0,0,2,9,7,1,0,0,0,0,0
 24-34,0,0,0,0,6.57,0.82,0,7.39,103.43,1.64,0.82,0.82,0,0,2.46,0,1.64,0,0,0,0.82,12.31,0,16.42,73.06,0,1.64,0,0,3.28,0,69.77,10.67,12.31,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,4.03,259.43,0.81,0,4.03,0,0,1.61,0,0.81,0.81,0,0,0,12.09,0,12.89,79.76,0.81,0,1.61,0,1.61,0,120.04,0.81,16.92,0,0,0.81,0,0.81
 48-58,0,0,0,0,2.87,0.57,0,29.26,265.1,0.57,1.15,8.61,0,0,2.87,1.15,0.57,0.57,0,0,0.57,18.36,0,12.62,79.76,0.57,0,1.15,0.57,1.15,0,134.84,0,20.66,0,0,2.3,0,1.15
 60-70,0,0,0,0,1.96,1.96,0,33.37,138.39,0,0,3.93,0,0,2.94,0.98,0,0.98,0,0,0,8.83,0,8.83,52.02,0,0,0,0,3.93,0,86.37,0,8.83,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,2.94,0,42.21,92.28,0.98,0,11.78,0,0,0.98,0.98,0,0,0.98,0,0,25.52,0,10.8,37.3,0,0.98,1.96,0,0.98,0,44.17,0,1.96,0,0,0.98,0,0.98
 84-94,0,0,2.12,0,3.19,2.12,1.06,30.8,128.51,0,1.06,6.37,1.06,0,4.25,3.19,0,0,0,0,0,11.68,0,6.37,23.36,0,1.06,0,0,2.12,0,84.96,0,3.19,1.06,0,1.06,1.06,0
 96-106,0,0,1.09,0,1.09,6.56,0,49.18,150.81,0,0,10.93,0,0,3.28,0,0,0,1.09,1.09,0,13.11,1.09,12.02,25.14,2.19,0,1.09,0,3.28,0,81.96,0,1.09,1.09,1.09,1.09,0,1.09
108-118,0,0,0,0,3.83,3.06,0,47.49,85.02,0.77,0.77,5.36,0.77,0,3.06,0.77,0,1.53,0,1.53,0,8.43,0,8.43,16.09,0,0,0,0,1.53,0,44.43,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,80.35,43.12,0,0,3.92,0,0,0,3.92,0,0,0,0,0,7.84,0,0,23.52,0,0,0,0,0,0,17.64,0,1.96,0,0,1.96,0,0
