stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,136,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,2,0,7,9,0,0,0,0,0,0,3,3,0,7,3,0,0,0,0,0
 24-34,0,0.82,291.4,0,2.46,0,9.85,0.82,0,0,0,0,0,0.82,0,0,0.82,0,36.94,6.57,0,11.49,32.01,0,0,1.64,0,0,0,0,17.24,0.82,0.82,0.82,0,0,0,0,0
 36-46,0,0,221.56,0.81,7.25,0,17.72,4.83,0,0.81,0,1.61,0,0,0.81,0,0,0,85.4,2.42,0,6.45,28.2,0,0,1.61,0,0,3.22,0,7.25,0,0,4.03,0,0,0,0,0
 48-58,0,0,245.59,0.57,13.77,0,52.79,30.41,1.15,0,0.57,2.3,0,0,0.57,0,0,0.57,163.53,1.15,1.15,17.21,30.99,0.57,0,1.72,0,0,1.72,0,2.87,0,0,4.59,0,0,0,0,1.15
 60-70,0,0,213.97,0,25.52,0.98,43.19,42.21,1.96,0,0,6.87,0,0,0,4.91,0,0,370.03,2.94,1.96,24.54,33.37,0,0,1.96,0,0,0,0,1.96,0,0,0.98,0.98,0.98,2.94,0.98,1.96
 72-82,0.98,0,207.13,2.94,52.03,8.83,55.95,74.61,8.83,1.96,0,14.72,0,0,0,0,0,0,717.59,5.89,5.89,38.28,57.92,0,0.98,4.91,0,0,0.98,0,0.98,0,0,1.96,0,7.85,0.98,5.89,0
 84-94,0,0,292.06,1.06,70.09,10.62,80.71,45.67,4.25,0,0,6.37,1.06,1.06,0,0,0,0,490.66,1.06,5.31,20.18,26.55,1.06,1.06,9.56,0,1.06,1.06,0,0,0,0,1.06,0,5.31,3.19,2.12,0
 96-106,3.28,1.09,210.92,2.19,72.13,19.67,63.39,61.2,10.93,2.19,0,15.3,0,1.09,1.09,3.28,1.09,0,616.37,4.37,8.74,19.67,62.29,2.19,0,9.84,0,0,8.74,0,0,0,0,1.09,0,7.65,1.09,4.37,0
108-118,0,0,189.19,0,32.94,13.79,36.77,43.66,6.13,0.77,0,8.43,1.53,3.06,0,3.06,0,0,617.37,1.53,9.96,22.98,53.62,0,0.77,11.49,0,0.77,3.06,0,0.77,0,0,0,0.77,5.36,0.77,2.3,0
120,0,0,145.02,0,21.56,23.52,25.48,54.87,7.84,3.92,0,7.84,0,0,0,3.92,0,0,599.69,3.92,15.68,7.84,68.59,0,0,27.44,0,0,3.92,0,1.96,0,0,1.96,0,19.6,1.96,0,0
