stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,131.78,3162.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,913.32,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,6.13,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,5.26,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,86.75,5.26,0,0,21.03,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,37,0,0,0,0,0,0,0,0,0,2,49,0,0,0,0,0
 24-34,0,0,0,0,2.46,0.82,0,4.93,0,0.82,0,0,0,0,0,0,0,0,0,0,13.13,8.21,0,0,12.31,424.38,0,3.28,0,0,0,0,0,0.82,0,0,127.23,0,0,2.46,0,9.03
 36-46,0,0,0,0,0,0,0,16.11,0,0,0,2.42,0.81,0,0,0,0,0.81,0,0,20.14,60.43,0,0,12.89,1031.26,0,0.81,0.81,0,0,0,0,0,0,0,196.58,0,0,0.81,0,7.25
 48-58,0.57,0,0,0,4.02,0,0,83.78,0,0.57,1.15,18.94,0.57,0,0,0,0,0.57,0,0,22.38,48.77,0,1.15,6.31,1397.21,0,1.15,0.57,0,0,1.72,0,0,0.57,0,215.18,0,0,1.15,0,21.8
 60-70,0,0,0,0,7.85,0,0,235.57,0,1.96,0,50.06,0,0,0,0,0,0,0.98,0,3.93,74.6,0,0,7.85,1869.8,0,2.94,1.96,0,0.98,1.96,0,0.98,1.96,0,253.23,0,0,0.98,0,10.8
 72-82,0,0,0,0,7.85,1.96,0,328.86,0,0,0.98,161.97,0.98,0,0,0.98,0,0.98,0.98,0,8.83,107,0,1.96,12.76,1760.12,0,0.98,2.94,0,1.96,4.91,0,0.98,0,0,149.21,0,0,2.94,1.96,16.69
 84-94,0,0,0,0,18.05,1.06,0,283.56,0,0,3.19,127.44,0,0,1.06,0,1.06,5.31,0,0,12.74,66.91,2.12,2.12,10.62,936.72,0,1.06,2.12,0,2.12,3.19,0,0,0,0,78.59,1.06,2.12,2.12,1.06,12.74
 96-106,0,0,0,0,12.02,4.37,1.09,259,0,1.09,0,168.3,1.09,0,1.09,0,0,2.19,0,0,9.84,74.31,1.09,5.46,9.84,811.99,0,0,3.28,0,3.28,5.46,0,1.09,0,0,37.16,2.19,2.19,5.46,1.09,14.21
108-118,0,0,0,0,10.72,2.3,0.77,214.47,0.77,0,0.77,154.72,0.77,0,0.77,0.77,1.53,1.53,0,0,12.26,71.23,0,3.83,8.43,796.6,0.77,1.53,0,0,6.13,1.53,0,0.77,0.77,0,18.38,1.53,0,3.06,2.3,26.81
120,0,0,1.96,0,19.6,3.92,0,223.42,0,3.92,1.96,158.74,0,0,0,1.96,0,1.96,0,3.92,5.88,54.87,0,3.92,11.76,987.73,0,0,1.96,0,9.8,0,0,0,0,0,43.12,0,0,3.92,0,7.84
