stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,3,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0,31.19,0,0,11.49,0,0,0,0.82,7.39,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,1.61,0,0,54.79,0,0,3.22,0,0,0,0,9.67,0,0.81,0,0
 48-58,0,0,0,0.57,0,6.31,0,0,0,6.89,0,0,0,0,0.57,1.15,0,0,75.74,0.57,0.57,1.72,0,0,0,0,9.18,0,0,0,0
 60-70,0,0,0,0.98,0,13.74,0,0.98,0,9.82,0.98,0,0.98,0,0,0.98,0.98,0.98,172.75,0,0,0.98,0,0,0,0,18.65,0,0,0,0
 72-82,0,0,0,0,0,27.49,1.96,0,0,3.93,0,0,0,0,0,3.93,0,0,217.93,0.98,0,0,0,0,0,0,17.67,0,0.98,0,0.98
 84-94,0,1.06,0,1.06,0,23.36,0,0,0,6.37,0,0,0,1.06,0,4.25,0,0,130.63,0,0,0,0,1.06,0,0,7.43,0,0,0,0
 96-106,0,0,0,0,1.09,24.04,0,0,0,12.02,0,0,1.09,0,0,0,0,0,126.77,0,0,0,0,4.37,0,0,5.46,0,0,0,0
108-118,0,0,0.77,2.3,0,21.45,0,0,0.77,13.02,0,1.53,0,0,0,3.83,0,0,159.32,0,1.53,0.77,0,0,0,0,3.83,0,0.77,0.77,0
120,0,0,0,1.96,0,27.44,0,0,0,29.4,0,0,0,0,0,1.96,0,1.96,264.57,0,0,0,0,0,1.96,0,3.92,1.96,0,0,0
