stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,0,0,0,0,21.03,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,149.84,5.26,0,0,36.8,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,22.03,0,0,0,34.62,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,198.26,18.88,0,0,56.65,0,0,0,3.15,6.29,0,3.15,0,0,0,0,0
 14-21,1,0,3,6,41,3,0,11,0,0,0,2,1,0,0,0,1,0,0,0,1,13,0,0,9,59,4,1,1,1,0,8,3,0,4,9,29,0,0,0,0,0
 24-34,0,0,2.46,3.28,9.03,0,0,19.7,0,1.64,0,4.1,0,0,0,0.82,0.82,0.82,4.1,0.82,0,21.34,0,0,9.03,154.32,1.64,9.03,3.28,0,0,22.98,0,0,0.82,0.82,27.09,0,0,0.82,0,0
 36-46,0,0,0,0,6.45,0,0,37.87,0,2.42,0,10.47,1.61,0.81,0,0,0,0,2.42,0.81,0,37.06,1.61,0.81,2.42,282.79,0.81,8.06,8.06,0,0,23.36,0,0.81,1.61,0,33.03,0,0,1.61,0,0
 48-58,0,0,1.72,0,2.87,0,0,58.53,1.15,1.15,0.57,18.36,0.57,0,0,0,0.57,0,5.16,0.57,0.57,41.31,0.57,0,8.03,267.39,0,9.75,8.61,0,0,25.25,0,0,1.72,0,55.66,0,0,0.57,0,1.15
 60-70,0,0,0,0,7.85,0,0,96.19,0,2.94,0,54.97,0.98,1.96,0.98,0,0.98,0,3.93,0,0,45.15,1.96,1.96,3.93,413.22,0.98,2.94,4.91,0,1.96,25.52,0,0,0.98,0,53.98,0,1.96,0.98,0,0
 72-82,0,0,2.94,0,10.8,1.96,0,130.56,0,0.98,2.94,74.61,7.85,0,0,5.89,0.98,0.98,7.85,0,0,106.02,4.91,0,5.89,411.32,0,10.8,17.67,0,0,46.14,0.98,0,0,0,47.12,0.98,2.94,3.93,8.83,1.96
 84-94,0,0,4.25,0,16.99,1.06,1.06,78.59,1.06,4.25,5.31,41.42,5.31,1.06,1.06,2.12,4.25,0,6.37,1.06,0,49.92,5.31,5.31,3.19,206.04,1.06,6.37,22.3,0,1.06,103.02,0,0,0,0,22.3,2.12,4.25,5.31,1.06,3.19
 96-106,0,0,0,1.09,29.51,3.28,2.19,63.39,1.09,3.28,2.19,52.46,7.65,0,1.09,6.56,4.37,0,14.21,2.19,0,74.31,2.19,4.37,5.46,195.62,1.09,17.49,20.76,0,1.09,134.42,0,0,1.09,0,18.58,3.28,3.28,7.65,2.19,0
108-118,0,0,1.53,0,31.4,0,1.53,51.32,0.77,11.49,3.06,47.49,6.13,0,0,7.66,2.3,0,9.96,0.77,0,62.04,3.83,2.3,3.06,194.55,0.77,6.89,22.98,0,0.77,97.28,0,0,0,0,9.96,6.13,0.77,6.89,2.3,0
120,0,0,0,0,39.2,3.92,3.92,62.71,0,7.84,1.96,43.12,5.88,0,3.92,5.88,3.92,0,1.96,1.96,0,35.28,1.96,0,0,260.65,1.96,15.68,15.68,0,0,154.82,0,0,1.96,0,5.88,1.96,3.92,3.92,1.96,0
