stage,blastomeres,epidermis,eye,glial,gut,heart,lateral.line,liver,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,0,1,5,0,0,0,1,0
 24-34,0,0,0.82,0,0,0,0,0,0,8.21,0,0,0,1.64,0
 36-46,0,0,0.81,0,0,0,0,0,0,4.03,0,0,0,0.81,0
 48-58,0,0.57,0.57,0,0,0,0,0,0,4.02,0,0,0,0,0
 60-70,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,2.94,0,0,0.98,0,0.98,0,0.98,0,0,0,0,0
 84-94,0,0,1.06,0,1.06,0,0,0,0,1.06,0,0,0,0,1.06
 96-106,0,0,3.28,0,0,0,1.09,0,2.19,2.19,0,0,1.09,0,0
108-118,0,0.77,0.77,0.77,0,0,0,0,1.53,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,5.88,0,0,0,0,0
