stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,239.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,6.29,0,0,31.47,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,9,3,0,6,0,0,0,4,1,0,0,0,0,0,0,0,7,0,0,5,55,3,0,1,2,0,1,12,2,10,28,0,0,2,0,0
 24-34,0,0,0,2.46,5.75,0,0,12.31,0,0,0,5.75,0,0,0,0,0,0,0,0.82,14.78,0,0,9.03,192.08,1.64,1.64,0.82,0,0,4.93,0,0,1.64,51.71,0,0,5.75,0,0
 36-46,0,0,0,0,1.61,0,0,33.03,0,0,0,11.28,0,0,0.81,0,0,0,0,0,34.64,0,0.81,4.83,122.46,0,0.81,0,0,0,4.83,0,0.81,0,33.03,0,0,0.81,0,0
 48-58,0,0,0,0,2.87,0.57,0,47.05,0,0.57,0.57,15.49,0.57,1.15,0,1.15,0,1.15,0,0,30.41,0,1.72,5.16,157.22,0,0,2.3,0,0,1.72,0,0.57,0,39.02,0,0,0.57,0,0.57
 60-70,0,0,0,0,0.98,0,0,22.58,0,0,0.98,21.59,0,0,0,0,0,0,0,0,26.5,0,0.98,1.96,60.85,0,2.94,0.98,0,0,3.93,0,0,0,23.56,0,0,0,0.98,1.96
 72-82,0,0,0.98,0,5.89,0,0,37.3,0,0,1.96,27.49,0,0.98,0,0,0,0.98,0,0,37.3,0,1.96,4.91,113.87,0,1.96,0.98,0,0,2.94,0,0.98,0,8.83,0,0,6.87,0,1.96
 84-94,0,0,0,0,3.19,0,0,25.49,0,2.12,1.06,16.99,3.19,0,2.12,1.06,1.06,1.06,0,1.06,29.74,0,3.19,2.12,38.23,0,1.06,2.12,0,0,6.37,0,1.06,0,7.43,0,1.06,3.19,1.06,0
 96-106,0,0,0,0,5.46,0,0,19.67,1.09,0,2.19,13.11,3.28,2.19,3.28,0,0,3.28,0,1.09,21.86,0,0,4.37,44.81,0,2.19,2.19,0,0,2.19,0,1.09,0,1.09,1.09,0,4.37,2.19,1.09
108-118,0,0,0,0,5.36,0,0.77,9.96,0,0,0,14.55,0.77,0,0.77,0.77,0.77,2.3,1.53,2.3,14.55,0.77,0,1.53,32.17,0,1.53,2.3,0,0.77,0,0,0,0,2.3,0,0,0.77,0,1.53
120,0,0,1.96,0,3.92,0,0,9.8,0,1.96,1.96,13.72,3.92,0,0,0,0,0,0,0,7.84,0,0,3.92,29.4,0,3.92,0,0,0,5.88,0,1.96,0,0,0,1.96,1.96,0,1.96
