stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,12,0,1,0,0,0,0,0,3,0,0,0
 24-34,0,2.46,0,0,0,0,0,1.64,0,0,0,0,0,0,32.01,0,8.21,43.51,0,0.82,1.64,0,0,0.82,0,25.45,0.82,0,0
 36-46,0,1.61,0,0,3.22,0,0,0.81,0,0,0,0,0,0,12.09,0.81,0,45.92,0,0,0,0,0,0.81,0,45.92,0.81,0,0
 48-58,0,1.15,0,0,3.44,0,0,4.59,0,0,0,0,0.57,0,9.18,0,4.02,37.3,0,0.57,0,0,0,0,0,17.79,0.57,0,0
 60-70,0,0.98,0,0,4.91,0,0.98,5.89,0,0,0,0,0.98,0,13.74,0,0.98,29.45,0.98,0,0,0,0.98,0,0,4.91,0,0,0.98
 72-82,0,0.98,0,0,8.83,0,0,3.93,0,0.98,0.98,1.96,0,0,13.74,0,2.94,36.32,0,0,1.96,0,0,0.98,0,1.96,0,0.98,0
 84-94,0,1.06,0,0,5.31,0,1.06,6.37,0,1.06,0,1.06,0,0,13.81,0,2.12,21.24,0,1.06,0,0,0,0,1.06,1.06,0,1.06,0
 96-106,0,0,1.09,0,5.46,0,0,4.37,1.09,1.09,0,5.46,0,1.09,22.95,0,3.28,24.04,0,1.09,0,0,0,0,0,2.19,1.09,0,1.09
108-118,0,3.83,0.77,0.77,3.83,0.77,2.3,2.3,0,0,0,1.53,0,1.53,9.96,0,2.3,32.17,0.77,0,0,0,0,1.53,0.77,1.53,0,0.77,0.77
120,0,0,0,0,3.92,0,0,3.92,0,0,0,0,0,0,5.88,0,3.92,27.44,0,0,0,0,0,0,0,1.96,0,0,0
