stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,heart,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,7.89,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,34.62,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,0,0,0,0,0,1,0,1,27,0,0,0,0,1,2,14,0,0,0
 24-34,0,0,0,0.82,9.03,0,0,0,0,0,0.82,0,0.82,49.25,0,1.64,0,0.82,0,0,11.49,0,0,0.82
 36-46,0,0,0,0,5.64,0,0.81,0,0,0,3.22,0,0,82.98,0,0.81,0,0,0,0,19.34,0,0,0
 48-58,0,0,0,0,21.8,0,5.74,0,0,0,3.44,0,0,64.84,0.57,0.57,0,0,0.57,0,10.33,0,1.15,0
 60-70,0,0,0,0,21.59,0,4.91,0,0.98,0,4.91,0,1.96,54.97,0,0,0,0,0,0,4.91,0,1.96,0
 72-82,0,0,0,1.96,27.49,0.98,0.98,0,0.98,0,4.91,0,0,38.28,0.98,0,0,0,0,0,2.94,0,0,0
 84-94,0,0,0,1.06,15.93,0,3.19,0,0,0,5.31,0,0,16.99,0,1.06,0,0,0,0,2.12,0,1.06,0
 96-106,0,0,0,1.09,14.21,0,5.46,1.09,0,0,3.28,0,1.09,8.74,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,14.55,0,2.3,0,0,0.77,5.36,0,0,19.92,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,1.96,0,1.96,0,0,0,1.96,1.96,0,15.68,0,0,0,0,0,0,0,0,0,0
