stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,26.36,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,12.26,0,0,0,0,0,0
  7-9,2.63,5.26,2.63,0,0,0,5.26,0,0,0,0,15.77,0,0,0,0,0,0,0,78.86,0,0,36.8,0,0,0,0,0,0,0
 10-12,0,9.44,18.88,0,0,0,31.47,0,0,0,0,15.73,0,0,0,0,0,0,0,151.05,6.29,0,66.09,0,0,6.29,0,0,0,0
 14-21,0,0,2,9,6,0,5,0,0,1,1,2,1,0,0,5,0,0,5,67,2,1,2,3,15,1,17,18,0,0
 24-34,0,0,0,3.28,0,0,6.57,0.82,0,1.64,0.82,0,0,0.82,0.82,1.64,0,0,3.28,42.68,0,0,0,4.93,0,0,3.28,6.57,1.64,0
 36-46,0,0,0,0.81,0,0,4.83,0,1.61,0.81,0,0.81,0,0.81,0,8.06,0,0,1.61,8.86,0,0,0,5.64,0,0,0,4.83,0.81,0
 48-58,0,0,0,0,0,0,2.3,0,0.57,1.15,0,0.57,0,0,0,1.72,0,0,0.57,3.44,0,0,0,1.72,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0.98,0,1.96,0.98,0,0,0,0,0,5.89,0,0,0,6.87,0,0,0,5.89,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,1.96,0,1.96,0,0,5.89,0,0,0,0,0,3.93,0.98,0,0,2.94,0,0,0,2.94,0,0,0,0,0,0.98
 84-94,0,0,0,1.06,2.12,0,1.06,0,0,0,0,1.06,0,1.06,0,5.31,0,0,0,1.06,0,0,0,5.31,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,2.19,0,0,0,0,0,0,3.28,0,2.19,0,0,0,0,0,0,0,7.65,0,0,0,2.19,0,0
108-118,0,0,0,0,0.77,0,0.77,0.77,0,0.77,0,0,0,0,0,6.89,0,0,0,2.3,0,0,0,4.6,0,0,0,0,0,0
120,0,0,0,1.96,5.88,0,0,0,0,0,0,0,0,0,0,5.88,1.96,1.96,0,1.96,3.92,0,0,3.92,0,0,0,0,1.96,0
