stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,23.66,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,450.02,0,18.88,0,0,3.15,3.15,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,92,31,4,0,0,2,0,0,0,0,0,0,0,0,1,5,0,9,52,3,2,0,0,0,1,0,1,2,54,0,20,0,0
 24-34,0,0,0,7.39,4.1,6.57,1.64,4.1,7.39,0,0,0,0,0.82,0,0,0,0,24.63,0,9.85,45.15,0.82,0,0,0,0,0,0,0.82,4.1,26.27,0,47.61,0,0.82
 36-46,0,0,0,0,0.81,10.47,0,0.81,12.89,0,0,0,0,0,0.81,0,0,0,16.92,0.81,12.89,23.36,0,0,0,0,1.61,0.81,0,0,0,11.28,0,14.5,0.81,1.61
 48-58,0,0,0,0,0.57,6.31,0,1.15,12.05,0,0,0,0,0,0,0,0,0,22.38,0.57,5.16,8.03,0,0,0,0,0,0,0,0,0,9.18,0,6.31,0.57,0
 60-70,0,0,0,0,0,8.83,0,3.93,10.8,0,0,0,0,0,2.94,0,0,0,28.46,2.94,2.94,8.83,0,0,2.94,0,0,0,0,0,0,0.98,0.98,2.94,0.98,2.94
 72-82,0,0.98,0,1.96,3.93,5.89,1.96,1.96,13.74,0,0.98,0.98,1.96,0,1.96,0,0,0.98,35.34,5.89,5.89,29.45,0,0,0.98,0,0,0,0,0,0,6.87,1.96,7.85,9.82,4.91
 84-94,0,0,0,2.12,4.25,6.37,0,1.06,15.93,0,0,0,2.12,0,11.68,1.06,0,0,23.36,7.43,3.19,11.68,0,0,2.12,0,0,0,0,0,0,3.19,3.19,12.74,6.37,5.31
 96-106,0,0,0,3.28,2.19,7.65,0,2.19,9.84,0,0,0,3.28,0,4.37,0,1.09,0,16.39,6.56,3.28,29.51,0,0,7.65,1.09,0,0,1.09,0,0,3.28,1.09,6.56,3.28,14.21
108-118,0,0,0,3.83,1.53,14.55,0,0.77,10.72,1.53,0,0,1.53,0,16.85,0,0,0.77,22.98,4.6,3.83,31.4,0.77,0,3.83,0,0,0,0,0,0,5.36,0.77,7.66,3.06,25.28
120,0,0,0,0,3.92,0,0,0,3.92,0,0,0,1.96,0,1.96,0,1.96,0,15.68,0,3.92,25.48,0,0,3.92,0,0,0,0,0,0,5.88,0,0,5.88,11.76
