stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,2,0,0,0,0
 24-34,0,0,0,0,1.64,0.82,0,0.82,0,0,0,0.82,0,0,0,0,0,0.82,9.85,1.64,0,0,0,0,0,0,1.64,0,0,0,0
 36-46,0,0,1.61,0,5.64,0.81,0,1.61,0,0,0,0,0,0,0,0.81,0,0,44.31,0,0,0,0,0,0.81,0,13.7,0,0,0,0
 48-58,0,0.57,0,0.57,18.36,0,0.57,2.3,0.57,0,0,0,0,0,0.57,4.02,0,1.15,73.45,0,0,0.57,0,0,0,0,14.92,0,0,0,0
 60-70,0,0,0,0,124.65,0,0,1.96,0,0,0,0,0,0,0,14.72,0,1.96,230.66,0,0.98,1.96,0,0,0,0,19.63,0,0,0,1.96
 72-82,0,0,1.96,0,237.56,0,1.96,12.76,0,0,0,1.96,0,0,0,40.25,0.98,0.98,180.63,0,3.93,4.91,0.98,0,0.98,0,3.93,0,0.98,0,1.96
 84-94,0,0,2.12,0,122.13,0,0,6.37,1.06,0,0,3.19,1.06,1.06,2.12,30.8,1.06,1.06,94.52,0,3.19,1.06,1.06,0,0,0,5.31,1.06,0,1.06,2.12
 96-106,0,0,1.09,0,146.44,0,0,6.56,7.65,0,1.09,1.09,0,0,0,50.27,1.09,1.09,100.54,3.28,3.28,8.74,0,0,0,1.09,2.19,1.09,0,1.09,0
108-118,0,0,4.6,0.77,123.32,0.77,0.77,6.89,5.36,0,0,0.77,0,0,0,36,0.77,1.53,90.38,0,3.83,6.13,0.77,0,0,0.77,3.83,1.53,1.53,1.53,1.53
120,0,0,0,0,60.75,3.92,0,3.92,3.92,0,0,0,0,0,0,25.48,0,1.96,88.19,0,1.96,1.96,0,0,0,0,5.88,1.96,0,1.96,1.96
