stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,140.98,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,26.29,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,15.77,0,28.92,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.52,0,0,0,3.15,0,3.15,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,429,0,0,2,0,6,0,0,3,0,0,0,6,0,0,0,0,6,1,0,1,15,0,1,1,1,0,77,0,2,5,0,2,0,0,3,0,0
 24-34,0,0,2.46,301.25,0,0,4.1,0,37.76,0.82,0.82,0.82,0.82,1.64,2.46,19.7,0,2.46,0.82,0,9.03,5.75,0,9.03,35.3,1.64,0.82,0.82,0,0,224.09,0,0,21.34,0,9.03,0,0,5.75,0,0
 36-46,0,0,0,165.16,0,0,4.03,0,37.06,1.61,1.61,0,2.42,0,0,6.45,0,1.61,1.61,0,11.28,4.03,0.81,2.42,28.2,0,2.42,0,0,0,225.59,0,0,15.31,0,5.64,0,0,2.42,0,0.81
 48-58,0,0,0.57,114.76,0,0,9.18,0.57,48.2,7.46,0.57,1.15,7.46,1.72,2.87,3.44,0,4.02,0,3.44,17.79,2.3,0.57,2.87,26.97,1.72,1.15,1.72,0,0.57,127.38,0,0,6.89,0,5.16,0,0,2.87,0,2.87
 60-70,0,0,0,102.08,0,0,10.8,0,42.21,6.87,2.94,3.93,5.89,0.98,0.98,6.87,1.96,1.96,0,2.94,26.5,6.87,0.98,0.98,19.63,0,0.98,1.96,0,0,129.56,0,0,6.87,0.98,0.98,0.98,3.93,2.94,0,5.89
 72-82,0,0.98,0,136.45,0.98,0,10.8,0,41.23,12.76,3.93,9.82,0,0.98,12.76,19.63,0,4.91,0.98,0.98,38.28,8.83,1.96,3.93,17.67,0,2.94,3.93,0,0,144.3,0,0,10.8,0,4.91,3.93,1.96,8.83,0.98,0
 84-94,0,1.06,0,242.14,1.06,1.06,7.43,1.06,70.09,9.56,3.19,22.3,0,0,18.05,26.55,1.06,1.06,3.19,1.06,23.36,5.31,3.19,4.25,8.5,1.06,2.12,1.06,0,0,334.54,0,0,21.24,0,2.12,8.5,1.06,4.25,3.19,0
 96-106,0,2.19,1.09,256.82,0,0,12.02,1.09,67.76,4.37,5.46,32.79,0,1.09,14.21,26.23,0,3.28,2.19,4.37,28.41,15.3,3.28,2.19,27.32,0,7.65,4.37,0,1.09,220.76,0,0,17.49,0,0,5.46,2.19,6.56,1.09,4.37
108-118,0,0.77,0,278.81,0,2.3,8.43,0,101.11,3.83,5.36,39.06,0,0,10.72,42.13,1.53,3.83,5.36,5.36,23.74,9.19,0.77,2.3,15.32,0.77,6.89,2.3,0,0,216.77,0,0,15.32,0,0,12.26,0.77,6.13,0,2.3
120,0,0,0,137.18,1.96,0,11.76,0,33.32,3.92,1.96,23.52,0,0,11.76,19.6,1.96,0,1.96,1.96,7.84,1.96,3.92,1.96,5.88,0,3.92,1.96,0,0,117.59,0,0,17.64,0,0,1.96,1.96,5.88,0,3.92
