stage,epidermis,erythrocytes,eye,fin.epithelia,glial,heart,immune,iridophores,mesenchyme,neural,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0
 36-46,0.81,0,0.81,0,0,0,0,0,0,2.42,0,0,0,0.81,0,0
 48-58,0,0,1.15,0,0,0,0.57,0,0,1.72,0,0,0,0,0.57,0
 60-70,0,0,0,0,0.98,0,0,0,0,1.96,0,0,0,0,0.98,1.96
 72-82,0.98,0.98,0,0,1.96,0,3.93,0,0.98,0.98,0,0,0,0,0,1.96
 84-94,0,0,1.06,0,0,1.06,1.06,0,0,1.06,1.06,0,0,0,0,2.12
 96-106,0,1.09,1.09,1.09,0,0,1.09,0,1.09,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0,4.6,0.77,1.53,0.77,0.77,0,0,0,0,1.53
120,1.96,0,0,0,0,0,5.88,0,0,3.92,1.96,0,1.96,0,0,0
