stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,mesenchyme,mucous,neural,spinal.cord,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,4.1,0.82,0
 36-46,0,0,0,1.61,0,0,0,0,8.86,2.42,0
 48-58,0,0,0,4.59,0,0,0,0,2.87,0.57,0.57
 60-70,0,0,0,24.54,0,0,0.98,0,8.83,3.93,0
 72-82,0,0,0,10.8,0.98,0,0,0,3.93,0,0
 84-94,0,0,0,13.81,1.06,0,0,1.06,5.31,0,0
 96-106,0,0,0,10.93,0,0,0,0,1.09,0,0
108-118,0,0,0.77,10.72,0,1.53,0.77,0,3.06,0,0
120,0,1.96,0,9.8,0,0,1.96,0,3.92,0,0
