stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,12.26,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,23,1,0,0,0,0,0,1,0,1,13,0,0,0
 24-34,0,0,0,3.28,0,6.57,0,0,0,1.64,0,0,0,0,0,2.46,0,0,0,114.92,0,1.64,0,0,0,0,0,0,0,31.19,0,0,0
 36-46,0,0,0.81,0,0,17.72,0,4.03,0,0,0,0,0,0,0,3.22,0,0,0.81,269.9,0,3.22,0.81,0,0,0,0,0,0,51.56,0,0.81,0
 48-58,0,0,0,0,0.57,37.87,0.57,9.75,0,0,0,0,0,0,0.57,5.16,0,0,1.15,255.34,0,0.57,0,0,0.57,0,0,0,0,38.44,0,0,0
 60-70,0,0,0,0,0,150.17,0,6.87,0,0,0,0,0,0,0,10.8,0,0.98,0.98,507.45,0,0,0.98,0,0,1.96,0,0,0,45.15,0,0.98,0
 72-82,0,0,0,0,0,69.7,0,4.91,0,0,0,0,0,0.98,0,10.8,0.98,0.98,0.98,209.09,0,1.96,0,0,0,0,0,0,0,12.76,0,0.98,0.98
 84-94,0,0,0,0,0,33.99,0,8.5,0,0,0,0,0,0,1.06,9.56,0,0,0,93.46,0,2.12,0,0,0,0,0,0,0,7.43,0,0,0
 96-106,0,0,0,0,0,16.39,0,4.37,1.09,0,0,1.09,0,0,0,3.28,1.09,0,1.09,62.29,0,1.09,0,0,0,0,0,0,0,2.19,1.09,0,0
108-118,0,0,0.77,2.3,0.77,13.02,0,3.83,0,0,0,0,0.77,0,0,6.89,0,0,0.77,89.62,0,1.53,0,0,0,0.77,0,0.77,0,1.53,0.77,1.53,0
120,0,0,0,3.92,1.96,21.56,0,7.84,1.96,0,1.96,0,0,0,0,3.92,0,0,0,105.83,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0
