stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,mesenchyme,mucous,muscle,neural,periderm,taste
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0
 60-70,4.91,0,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,21.6,0,0,0,0.98,0,0,0,0,0.98,0,1.96,1.96
 84-94,52.04,0,0,0,0,1.06,2.12,0,0,0,1.06,6.37,2.12
 96-106,125.68,1.09,3.28,1.09,1.09,0,13.11,1.09,0,0,4.37,36.06,1.09
108-118,121.79,0,2.3,1.53,0.77,1.53,22.98,1.53,0,0,3.83,38.3,6.89
120,64.67,0,3.92,0,0,1.96,13.72,0,5.88,0,5.88,45.08,1.96
