stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
 24-34,1.64,0,0,16.42,0,0,0.82,0,0,0,0.82,0,0,0.82,20.52,0.82,0,0,1.64,0,2.46,0,0,0,0
 36-46,1.61,0,0,33.03,0,0,1.61,0,0.81,0,3.22,0,0,0.81,32.23,0,0,0.81,0,0,4.83,0,0,0,0
 48-58,0,0,0,32.13,0,0.57,1.72,0.57,0,0,5.16,0,0,0.57,22.95,1.15,0,0.57,1.15,0,4.59,0,0.57,0,1.15
 60-70,0.98,0,0,49.08,0,0,0.98,0,0,0,4.91,0.98,0,0.98,24.54,1.96,0,0,0,0,5.89,0,0,0,0
 72-82,0,0.98,0,46.14,0,0,4.91,0,0,0,3.93,0,0,0,13.74,0,0,0,2.94,0,1.96,0,1.96,0.98,0.98
 84-94,0,0,0,39.3,0,0,3.19,0,0,0,3.19,0,0,0,6.37,0,1.06,0,0,0,1.06,1.06,0,0,0
 96-106,4.37,0,0,22.95,1.09,0,0,0,0,0,2.19,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0,1.09
108-118,0,1.53,0.77,27.57,0,0.77,0.77,0,0,0,2.3,0,1.53,0.77,6.89,0.77,0,0,0.77,0,0,0,1.53,0,0.77
120,0,0,0,21.56,0,0,1.96,0,0,1.96,0,0,0,1.96,11.76,0,0,0,0,0,0,0,0,0,0
