stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,21.34,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,19.34,0,0,0.81,0,0,0,0,0,0,0,4.03,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,0,15.49,0,0.57,14.92,0.57,0,0,0,0,0,0,5.74,0,0,0,0,1.15,4.59,0,0,0,0,0,0,0,0,0.57,0,0.57,0,0
 60-70,0,0,0.98,0,0,10.8,0,0.98,48.09,13.74,0,0,0,0,0,0,7.85,0,0.98,0,0,0.98,5.89,0,0,0,0,0,0,0,0,1.96,0,0,0,0.98
 72-82,0,0,0.98,0.98,0,17.67,0,3.93,112.89,42.21,11.78,0,0,0,0,0,25.52,0,6.87,0.98,0,4.91,14.72,0,0,0,0,0,1.96,3.93,0,0.98,0,0.98,1.96,0
 84-94,0,0,2.12,0,0,18.05,0,4.25,82.84,20.18,12.74,0,1.06,0,2.12,0,31.86,0,1.06,0,0,1.06,8.5,0,0,0,0,0,0,11.68,0,2.12,0,0,0,0
 96-106,0,2.19,10.93,10.93,0,31.69,1.09,7.65,88.52,51.36,209.83,2.19,5.46,3.28,1.09,1.09,478.67,0,34.97,3.28,0,2.19,123.49,2.19,4.37,3.28,0,0,19.67,69.94,1.09,5.46,2.19,3.28,5.46,2.19
108-118,0,0.77,6.13,2.3,1.53,40.6,1.53,6.13,96.51,47.49,379.15,0,5.36,0,1.53,0.77,1082.31,1.53,39.83,0.77,1.53,9.19,122.55,1.53,1.53,2.3,0,0.77,11.49,114.13,0,0.77,0,3.06,0.77,3.06
120,1.96,3.92,9.8,7.84,1.96,47.03,0,9.8,135.23,86.23,319.45,0,3.92,0,3.92,0,691.8,0,29.4,3.92,0,7.84,115.63,5.88,1.96,5.88,0,0,17.64,82.31,1.96,5.88,3.92,3.92,0,0
