stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,15,0,0,0,2,0,0,1,1,0,0,5,5,0,0,0,0,0
 24-34,0,0,0,0.82,6.57,0,0,7.39,0,0,0,2.46,0,0,0,0.82,0,0,0,1.64,5.75,0.82,0,9.03,311.93,0,9.03,0,0,0,0.82,0,0,0,0,0.82,74.7,0,0,1.64,0,0
 36-46,0,0,0.81,0,0,0,0,19.34,0,0.81,0,51.56,0,0,0.81,0,0,0,0,0.81,5.64,0,0,7.25,647.76,0.81,14.5,0.81,0,0,0.81,0,0,0,0,0,182.08,0,0,0.81,0,0.81
 48-58,0,0,0,0,0.57,0,0,72.87,1.15,0,1.15,65.99,0,0,0.57,0,0,0,0,1.72,18.36,1.15,1.15,4.02,557.74,0,12.05,1.72,0,0,2.3,0,0,0.57,0.57,0,158.37,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,0,297.4,0,0.98,1.96,67.73,0,0,0,0,0.98,0,0,0,16.69,0,0,0,954.04,0,8.83,0,0,0,2.94,0,0,0.98,0,0,179.62,0.98,0.98,0.98,0,1.96
 72-82,0,0,1.96,0,7.85,2.94,0,570.35,0,1.96,0.98,114.85,4.91,0,0.98,0,0,0,0,1.96,21.6,0.98,4.91,1.96,920.8,0,24.54,2.94,0,0,3.93,0,0,0,0,0,101.11,0,1.96,2.94,0,0.98
 84-94,0,0,0,0,8.5,3.19,0,300.56,0,1.06,0,86.03,1.06,0,0,1.06,3.19,0,0,2.12,19.12,1.06,0,6.37,430.13,1.06,16.99,5.31,0,0,1.06,0,0,0,0,0,55.23,0,3.19,1.06,0,1.06
 96-106,0,0,0,0,2.19,2.19,1.09,273.21,0,1.09,1.09,87.43,2.19,0,2.19,0,0,0,1.09,2.19,21.86,0,2.19,0,382.5,1.09,24.04,4.37,0,1.09,6.56,0,0,1.09,0,0,22.95,1.09,1.09,0,0,0
108-118,0,0,0,0,11.49,2.3,0,225.96,0.77,0,1.53,83.49,0.77,0,0,0,0.77,0.77,0.77,6.89,8.43,0,0.77,0,421.28,0.77,12.26,4.6,0,0.77,0.77,0,0,0,0,0,20.68,2.3,0,0.77,0,0.77
120,0,0,0,0,7.84,0,0,205.78,1.96,1.96,0,107.79,5.88,0,1.96,1.96,0,0,1.96,9.8,7.84,0,0,1.96,729.04,0,5.88,9.8,0,0,5.88,0,0,1.96,0,0,33.32,1.96,0,0,3.92,0
