stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,5,0,0,7,0,0,0,1,0,0,1,0,2,9,0,0,0,0
 24-34,0,0.82,0,2.46,0,0,0,0.82,0,0,0,0,0.82,0,0,3.28,0,1.64,56.64,0,0,1.64,0,0,0,0,0,0.82,43.51,0,0,0,0
 36-46,0,0,0,0.81,0,0,2.42,0,0,4.03,0.81,0,0,0,0,0.81,0,2.42,112.79,0.81,3.22,1.61,0,0,1.61,0,0,0,49.15,0,0,0,0
 48-58,0,0.57,0,0,0,0,6.89,0,0,22.95,0,0,0,0,0,4.02,0,0.57,161.81,0,0,0,0,0,1.72,0,0,0,36.72,0,0,0,0.57
 60-70,0,0,0,0,0,0,20.61,0.98,0,43.19,0.98,0,0,0,0.98,7.85,0,0,349.42,0,0.98,0.98,0,0,0.98,0,0,0,34.35,0,0,0,0
 72-82,0,0,0,0,0,0,35.34,0,0,45.16,0,0,0,0,0,2.94,0,0,337.69,0,3.93,0,0,0,2.94,0,0.98,0,38.28,0,0.98,0,0.98
 84-94,0,1.06,0,2.12,1.06,0,41.42,1.06,0,26.55,0,0,1.06,1.06,0,6.37,1.06,2.12,156.12,0,1.06,1.06,0,1.06,3.19,0,2.12,0,15.93,0,1.06,2.12,1.06
 96-106,0,1.09,0,2.19,0,0,18.58,0,1.09,17.49,1.09,0,1.09,0,0,3.28,0,0,140.98,0,0,3.28,0,0,2.19,0,0,0,9.84,1.09,0,0,1.09
108-118,0,1.53,0.77,3.06,0.77,0.77,17.62,0,0,9.96,0,0,0,0,0,4.6,0.77,0,137.11,0,2.3,0,0,0,5.36,0,2.3,0,3.06,0.77,0,0,0
120,0,0,0,0,1.96,1.96,37.24,0,0,23.52,0,0,0,0,0,1.96,0,0,178.34,0,0,0,0,0,1.96,0,0,0,3.92,0,1.96,1.96,0
