stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,39.53,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,24.52,196.15,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,36.78,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.98,2.63,0,0,10.51,0,10.51,0,0,0,0,0,0,0
 10-12,0,3.15,12.59,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,9.44,0,0,12.59,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,13,1,0,10,0,0,0,2,0,1,0,1,0,0,0,0,2,0,0,1,102,1,0,4,2,55,1,1,1,2,29,0,1,1
 24-34,0,0,0,7.39,1.64,0,18.06,0,0,0,4.93,0,0,0,0,0,2.46,0,17.24,6.57,0.82,0,2.46,177.3,0,0.82,2.46,0,54.18,0,0,0.82,0.82,42.68,0,2.46,1.64
 36-46,0,0,0.81,2.42,0.81,0,9.67,0,0,0,16.11,0,0,0,0,0,2.42,0.81,41.89,4.83,0,0,1.61,197.39,0,2.42,1.61,0,43.51,0,0,0,0,57.2,0,0.81,4.83
 48-58,0,0,0,2.87,0.57,0,25.82,0,0.57,0,57.95,0.57,0.57,0,1.72,0.57,1.15,0,41.31,4.02,0,0.57,2.3,134.84,0,0.57,1.72,0,33.28,0,0,0,0,45.33,0,0.57,12.05
 60-70,0,0,0,2.94,0,0,16.69,0,1.96,0,46.13,0,0.98,0,0,4.91,2.94,0,21.59,11.78,0.98,0.98,1.96,81.47,0,0.98,0,0,23.56,0,0,0,0,20.61,1.96,0,10.8
 72-82,0,0,0,6.87,0,0,20.61,0,0,0.98,114.85,1.96,0,0.98,2.94,2.94,0.98,0,32.39,12.76,0,0.98,2.94,64.79,0.98,0,2.94,0,35.34,0,0,0,0,1.96,0,0.98,18.65
 84-94,0,0,0,10.62,2.12,0,16.99,0,0,1.06,50.98,1.06,0,0,2.12,5.31,6.37,0,57.35,9.56,0,0,4.25,41.42,0,1.06,5.31,0,111.51,0,0,1.06,0,2.12,2.12,1.06,15.93
 96-106,0,0,0,12.02,1.09,0,18.58,0,0,0,80.87,2.19,0,2.19,0,6.56,10.93,0,49.18,8.74,1.09,0,2.19,29.51,0,1.09,3.28,0,76.5,0,0,0,0,0,0,2.19,19.67
108-118,0,0,0,10.72,0.77,0.77,12.26,0.77,0,0.77,63.57,2.3,0,0,6.13,9.96,9.19,0,64.34,2.3,2.3,0,0.77,32.94,0,0,3.83,0,78.89,0,0,0,0,0,0,0,23.74
120,0,0,0,19.6,1.96,0,13.72,0,0,0,50.95,3.92,0,0,3.92,3.92,5.88,0,27.44,3.92,0,0,1.96,58.79,0,0,1.96,0,52.91,0,0,0,0,0,0,0,13.72
