stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
 14-21,1,6,1,0,1,0,0,1,0,0,0,0,1,0,0,2,11,1,0,0,11,2,1,2,12,0
 24-34,3.28,0,0,0,4.93,0,0,0,0,0,0,0,4.93,0,0,3.28,18.88,4.1,0.82,0,0,1.64,0,3.28,15.6,0.82
 36-46,0,0,0.81,0,4.03,0,0,0,0,0,0,0,7.25,0,0,0.81,39.48,0.81,0,0.81,0,0,0,0,15.31,0.81
 48-58,0,0,4.02,0,5.16,0,0.57,0,0,0,0,0,4.59,0,0,2.87,39.02,0.57,0.57,0.57,0,0,0,0,9.18,1.15
 60-70,0,0,5.89,0.98,1.96,0.98,0,0,0,0,0,0,3.93,0,0,0,40.24,0.98,0,0,0,0,0,0,6.87,0
 72-82,0.98,0,4.91,0,1.96,0.98,0,0,0.98,0,0.98,0.98,5.89,0,0.98,1.96,33.38,3.93,0,0.98,0,1.96,0,0,3.93,0.98
 84-94,1.06,0,3.19,1.06,5.31,0,0,0,0,0,0,1.06,2.12,1.06,1.06,1.06,16.99,4.25,0,0,0,2.12,0,0,5.31,2.12
 96-106,1.09,1.09,4.37,0,4.37,0,0,0,0,0,1.09,4.37,5.46,0,0,1.09,10.93,0,2.19,0,0,4.37,0,0,2.19,1.09
108-118,0.77,0.77,6.13,0,2.3,0,0,0,0.77,1.53,0,1.53,7.66,0,0,0,12.26,1.53,0.77,0,0,1.53,0,0,0,1.53
120,0,0,1.96,0,5.88,0,0,0,0,0,0,0,0,0,0,1.96,11.76,0,0,0,0,3.92,0,0,0,1.96
