stage,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
 14-21,0,2,0,0,0,1,0,0,0,0,8,0,0,1,1,1,0,3,1
 24-34,0,2.46,0,0,0,0,0,0.82,0,0,20.52,0,0,0,0,0,0,0,3.28
 36-46,0,1.61,0,0,1.61,0,0,0.81,0.81,0,20.14,0,0.81,0,0,0,0,0,4.03
 48-58,0.57,1.72,0,0,2.87,0,0,1.15,0,0,14.92,0.57,0,0,0,0,0,0,1.15
 60-70,0,2.94,0,0,0.98,0,0,0.98,0,0,5.89,0.98,0,0.98,0,0,1.96,0,0.98
 72-82,0,0.98,1.96,0.98,0,0,0,0.98,0,0,5.89,0,0,0,0,0,0,0,0.98
 84-94,0,2.12,0,0,0,0,0,0,0,0,4.25,0,0,2.12,0,0,0,0,0
 96-106,2.19,1.09,0,0,2.19,0,0,1.09,0,0,4.37,0,1.09,1.09,0,0,1.09,0,0
108-118,0,0.77,0.77,0,2.3,0,0,1.53,0,2.3,2.3,0,0.77,0,0,0,0.77,0,0
120,0,0,1.96,0,1.96,1.96,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0
