stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,15.73,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,26,31,0,3,0,0,0,2,0,0,0,0,0,2,0,3,0,0,10,19,27,0,0,0,0,0,1,1,2,6,13,0,0,4,0,1
 24-34,0,0,0,10.67,15.6,0,3.28,9.03,4.1,4.93,0,0,1.64,0,0,0,0.82,0.82,22.98,0,0,15.6,42.68,18.06,0.82,2.46,0,0,2.46,0,1.64,0,1.64,5.75,0,0,9.85,0,7.39
 36-46,0,0,0,4.03,1.61,0,4.03,1.61,20.95,5.64,0.81,0,5.64,0,0,0,0,3.22,30.62,0,0,11.28,45.12,10.47,0,0.81,0,0,2.42,0,2.42,0,0.81,7.25,0,0.81,3.22,0,14.5
 48-58,0,0,0,1.72,1.72,0,17.79,2.3,17.21,21.23,0.57,0.57,5.74,0,5.16,0,0,1.72,67.14,0,0,6.89,36.15,1.72,0,2.3,0,0,2.3,0,0.57,0,0,13.77,0,0,2.3,0,14.35
 60-70,0,0,0,3.93,1.96,0,44.17,1.96,11.78,53.98,16.69,0.98,19.63,0,15.7,0.98,0,0.98,158.03,0,0.98,1.96,39.26,1.96,0.98,3.93,0,0,0.98,0,1.96,0,0,9.82,0.98,0.98,1.96,0,7.85
 72-82,0,3.93,0,3.93,4.91,0.98,72.64,0,17.67,71.66,50.06,1.96,29.45,0.98,16.69,0,0.98,0,184.55,0,1.96,5.89,65.77,0,2.94,5.89,0,0,1.96,0,0.98,0,0,5.89,0.98,0,11.78,2.94,2.94
 84-94,0,6.37,0,3.19,1.06,1.06,49.92,2.12,12.74,41.42,79.65,0,35.05,0,10.62,0,2.12,0,139.13,0,1.06,3.19,36.11,0,1.06,3.19,0,1.06,0,0,0,0,0,5.31,0,4.25,11.68,3.19,5.31
 96-106,0,2.19,0,1.09,2.19,1.09,42.62,1.09,13.11,49.18,114.75,0,28.41,1.09,5.46,2.19,1.09,0,84.15,1.09,1.09,5.46,37.16,1.09,1.09,4.37,0,1.09,4.37,0,0,0,0,1.09,0,1.09,8.74,2.19,5.46
108-118,0,3.83,0,3.06,10.72,3.06,37.53,0.77,9.96,36,180,0,31.4,0.77,13.79,0,1.53,0,45.19,0,0,4.6,43.66,0.77,0.77,4.6,0,0.77,3.83,0,1.53,0,0,3.06,0.77,0,3.83,0.77,5.36
120,0,3.92,0,7.84,7.84,0,43.12,0,3.92,33.32,158.74,0,41.16,0,7.84,0,0,0,37.24,1.96,0,3.92,52.91,0,1.96,0,0,0,1.96,0,0,0,0,3.92,3.92,0,3.92,0,0
