stage,epidermis,eye,fin.mesenchyme,heart,mesenchyme,mural.cell,muscle,neural,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,2,1,2,4,1,0,0,0
 24-34,0,0.82,0,0,2.46,0,0,5.75,0,0,1.64,0,0,0
 36-46,0,0.81,0,0.81,8.86,0,2.42,0.81,0,0,0,0,0,0
 48-58,0,0,0.57,0,12.05,1.15,0.57,2.3,0,0,0,0,0,0
 60-70,0,0,0,0,6.87,0,0,2.94,0,0,0,0.98,0,0
 72-82,0,0.98,0.98,0,7.85,0.98,0,3.93,0,0,0.98,0,0,0
 84-94,0,2.12,1.06,0,3.19,0,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,0,4.37,0,1.09,1.09,0,0,0,0,1.09,1.09
108-118,0.77,0,0,0,2.3,1.53,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0
