stage,blastomeres,epidermis,eye,fast_muscle,glial,heart,immune,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,1.64,0,0.82,0,0,0,0
 36-46,0,0,0.81,0.81,0,0.81,0,0,0,0,6.45,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,1.15,0,0,0,0,0,0,1.15,5.16,0,0,0,0.57,0,0,0,0,0,0.57
 60-70,0,1.96,0.98,0,0.98,0,0,0,0.98,0,6.87,0,0,0,0.98,0,0,1.96,0.98,0,0
 72-82,0,2.94,1.96,0,0,0,0.98,0.98,2.94,0,13.74,0.98,0.98,0,0.98,0,0,0.98,0,0.98,0
 84-94,0,1.06,3.19,1.06,2.12,0,1.06,0,2.12,1.06,5.31,0,0,0,1.06,0,0,1.06,0,0,1.06
 96-106,0,0,0,0,0,0,0,0,3.28,0,4.37,0,0,0,2.19,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,3.83,0,9.19,0,0.77,0,3.06,0,0,0,0.77,0,0
120,0,0,0,1.96,0,0,0,0,0,0,5.88,0,0,0,3.92,0,0,0,0,0,0
