stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,15.73,6.29,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0
 24-34,0,0,0,2.46,0,0,0,0.82,0,0,0,0.82,9.85,0,0,0.82,0.82,0,0,0
 36-46,0,0,0,11.28,0,0,0,0,0,0,0,0,7.25,0,0,0,0.81,0,0,0
 48-58,0,0,0,31.56,1.15,0,0,0,0.57,0,0,0.57,5.16,0,0,0,1.15,0,1.15,0
 60-70,0,0,0,61.84,0.98,0,2.94,0,0,1.96,0,0,14.72,0,0,0,0.98,0,0,0.98
 72-82,0,0,0,76.57,0,0,0,0,0,0.98,0,0,10.8,0,0,0,0.98,0.98,4.91,0
 84-94,0,0,0,69.03,1.06,1.06,5.31,0,0,0,0,0,5.31,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,43.71,0,0,3.28,0,1.09,1.09,0,1.09,5.46,0,0,0,0,0,2.19,2.19
108-118,0,0,0.77,32.17,2.3,0,3.06,0,0,0,0.77,0.77,6.89,0,0,0,0,0,0.77,0.77
120,0,0,3.92,39.2,0,0,7.84,0,0,0,0,1.96,1.96,0,0,0,1.96,0,0,1.96
