stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,ionocyte,lateral.line,neural,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,spinal.cord,visceral.smooth.muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,5.26,5.26,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,4,0,0,0,1,1,0
 24-34,0,0.82,0,0,0.82,0,0,0,0.82,2.46,0,0.82,0,0,0.82,0
 36-46,0,0.81,0,0,0,0.81,0,0,0,1.61,0,0,0,0,0,0
 48-58,0,1.72,0,1.72,0,0,0,0,0,2.3,0,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0
 72-82,0,0,0,1.96,0,0,0.98,0,0,0.98,0,0,0,0,0.98,0.98
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,1.09,1.09,0,2.19,0,0,0,0
120,0,3.92,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
