stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,1,3,1,0,0,0,2,0,0,0,0
 24-34,0,0,0,0,4.1,0,0.82,0,0,0,0,0,0,0.82,43.51,0.82,17.24,0,0,0,0,12.31,0,0,0,1.64
 36-46,0,0,0,0,12.89,0,1.61,0,0,0,0,0,0,0,80.57,1.61,16.11,0,0,0,0,15.31,0,0.81,0,0.81
 48-58,0,0,0,0,27.54,0,8.61,0,0,0,0,0,0,0.57,101.56,0,8.03,0,0,0,0,9.18,0,0,0,4.02
 60-70,0,0.98,0,0,52.02,0,28.46,0,0,0,0.98,5.89,0,0,192.38,0,12.76,0,0,0,0,5.89,0,0,0,4.91
 72-82,0,1.96,0,0,113.87,0,50.06,0,0,1.96,0,19.63,0,0,308.24,0,28.47,1.96,0.98,0.98,0,4.91,0,1.96,0.98,3.93
 84-94,0,1.06,0,0,70.09,0,35.05,1.06,1.06,0,0,4.25,0,1.06,196.48,1.06,22.3,1.06,0,0,0,8.5,0,0,0,1.06
 96-106,0,6.56,0,0,60.11,1.09,36.06,0,0,1.09,0,7.65,0,3.28,195.62,0,41.53,0,0,3.28,1.09,3.28,0,0,0,2.19
108-118,0.77,4.6,0.77,0,61.28,0,32.17,0,0,2.3,0,8.43,0,0,213.7,0,30.64,1.53,0,0.77,0,3.06,0.77,0,0,4.6
120,0,3.92,0,1.96,52.91,0,19.6,0,0,0,0,13.72,1.96,0,194.02,1.96,11.76,0,0,0,0,7.84,0,0,0,1.96
