stage,axial,blastomeres,endoderm,epidermis,eye,gut,melanocytes,mesenchyme,neural,notochord,paraxial.mesoderm,pronephros
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,67.43,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,13.14,0,0,0,65.72,2.63,15.77,0
 10-12,0,0,0,0,9.44,0,0,0,47.2,3.15,22.03,3.15
 24-34,0,0,0,0,0.82,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,1.96,0,0.98,0,0.98,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0.77,0.77,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0
