stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,12.59,0,0,6.29,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,2,0,0
 24-34,0,1.64,0,1.64,0,0,0,0,0,0,0,0,1.64,0,0,0,9.03,0,0,0,0.82,0.82,0,4.1,0
 36-46,0,0,0,1.61,0,0,1.61,0,0,0,0,0,0,0.81,0,0.81,6.45,0,0.81,0,0,0,0,2.42,0
 48-58,0,0.57,0.57,4.02,0,0,3.44,0,0,0,1.15,0,2.3,0,0,0,4.02,0,0,0,0.57,0,0,0.57,0
 60-70,0,0.98,0,4.91,0,0.98,1.96,0,0,0,0,0,0.98,0,0,0,5.89,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,1.96,0,0,1.96,0,0.98,0.98,1.96,0.98,7.85,0,0,0,0.98,1.96,0,0,0.98,0,0,0.98,2.94
 84-94,0,1.06,1.06,2.12,0,2.12,0,0,0,1.06,1.06,0,3.19,0,0,0,3.19,0,0,0,2.12,0,0,1.06,0
 96-106,0,0,0,2.19,0,0,4.37,1.09,0,0,2.19,0,3.28,0,1.09,0,0,0,0,0,5.46,0,0,0,1.09
108-118,0,0.77,0.77,3.83,0.77,0,5.36,1.53,0,0,2.3,0,0.77,0,0,0,3.83,0,0,0,4.6,0,0,0,0
120,0,1.96,1.96,1.96,0,0,3.92,0,0,0,5.88,0,1.96,0,0,0,5.88,0,0,0,1.96,0,0,0,0
