stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,12.26,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,16,0,0,0,0,0,0,1,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0
 24-34,0,0,0,10.67,0,0,0,0,0.82,0,0,0,0,0,4.1,0,0.82,18.88,0,0,0,0,0,0.82,0,0.82,0,19.7,0,0,0,0
 36-46,0,0,0,2.42,0.81,0,0,0,1.61,0,0.81,0,0,0,2.42,0,0,30.62,0,0,0.81,0,0,0,0,0,0,37.06,0,0,0,0
 48-58,0,0,0,0,0,0,3.44,0,1.72,0.57,0,0,0,0.57,1.15,0,0.57,71.15,0,0,0,0,0,0,0,0,0,24.1,0,0,0,0
 60-70,0,0,0,2.94,0.98,0,7.85,0,0,0.98,0,0,0,0.98,1.96,0,0,104.04,0,0,0,0,0,0.98,0,0,0,7.85,0,0,0,0
 72-82,0,0,0,7.85,0,0,23.56,0,0,3.93,0.98,0,0.98,0,9.82,0,0,120.74,0.98,0,0,0,0.98,0,0,0,0,6.87,0,0,0,0.98
 84-94,0,0,2.12,24.43,1.06,0,19.12,0,2.12,1.06,3.19,0,0,0,5.31,0,0,72.22,0,0,0,0,0,0,0,0,0,3.19,0,0,0,1.06
 96-106,0,0,3.28,49.18,4.37,1.09,28.41,1.09,1.09,6.56,4.37,1.09,1.09,1.09,10.93,0,2.19,85.24,1.09,1.09,1.09,0,0,2.19,0,0,0,3.28,4.37,0,0,0
108-118,0,0,1.53,47.49,0,0,18.38,0,0,3.06,0.77,0,0,0,9.96,0.77,0.77,104.94,0,0,2.3,0,0.77,0,0.77,0,0,1.53,5.36,0.77,0,0
120,0,0,0,11.76,0,0,19.6,0,0,1.96,0,0,0,0,3.92,0,1.96,150.9,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0
