stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,84.97,3.15,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,18,0,0,23,0,0,0,0,0,0,3,0,0,218,1,0,1,4,0,2,1,1,0,1,89,0,0,0,0,0
 24-34,0,0,0,0.82,3.28,0,0,70.59,0,0,15.6,0,0,0,0,0,0,13.95,0,4.1,594.3,1.64,0.82,3.28,0,0,0,0,0,0.82,0,143.65,0,0,4.1,0,0
 36-46,0,0,0,0,0.81,0,0,115.21,0,0,18.53,0,0,0.81,0,0,0,12.89,0.81,4.83,400.42,1.61,0,0,0,0,0.81,0,0,0.81,0,132.13,0,0,6.45,0,0
 48-58,0,0,0,0,1.72,0,0,100.99,0,0,13.77,1.15,0.57,0,0,0,0,29.26,0.57,4.02,181.32,0,0,0.57,0,0,0.57,0,0,0,0,28.69,0,0,10.33,0,0
 60-70,0,0,1.96,0,0.98,0,0,84.41,0,0,14.72,0,0,0,0,0,1.96,37.3,0.98,1.96,141.34,0.98,0.98,0,0,0,0,0,0,0,0,16.69,0,1.96,27.48,2.94,0
 72-82,0,0,1.96,0,2.94,0,0,58.9,0,0.98,27.49,0,0,0,0.98,0,0.98,65.77,0,0,175.72,0.98,0,2.94,0,0,1.96,0,0,0,0,13.74,0,0.98,55.95,0.98,0.98
 84-94,0,0,2.12,0,3.19,1.06,0,96.65,0,1.06,19.12,0,0,0,0,1.06,2.12,54.16,2.12,1.06,96.65,0,0,1.06,0,0,0,0,0,0,0,10.62,0,5.31,47.79,0,0
 96-106,0,0,0,0,5.46,0,0,75.41,1.09,0,10.93,0,0,0,0,0,1.09,59.01,2.19,0,85.24,1.09,0,1.09,0,0,0,0,0,0,0,10.93,1.09,1.09,66.66,5.46,0
108-118,0,0,3.06,0,1.53,0,0,76.6,0,0.77,13.79,0.77,0,0,0,0.77,0,45.96,0.77,1.53,104.17,1.53,0,0,0,1.53,0.77,0,0,0,0,7.66,1.53,0.77,44.43,0.77,0.77
120,0,0,3.92,0,1.96,1.96,1.96,33.32,0,0,17.64,1.96,0,1.96,0,0,1.96,45.08,0,1.96,99.95,1.96,0,0,0,3.92,0,0,0,0,0,3.92,1.96,0,58.79,9.8,0
